policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_v4),343.2,24.5906,368,204.6,9.4499,218,138.6,22.6672,164,0.598,0.0404,0.6412,17.8184,0.9245,18.9883,17.7692,1.7222,19.4921,31.4341,0.5943,32.2298,37.3341,2.0678,39.3757,0.054,0.1206,0.2698,9.1942,0.4974,9.7533,13.132,0.3407,13.5946,31.278,1.733,33.4605,1.3825,0.019,1.4,2.185,0.0699,2.2753,3047.9692,50.2887,3110.4468,1868.7559,55.6328,1909.274,1179.2134,35.9473,1233.1639,0.3869,0.0123,0.4031,0,0.0,0,2.953,0.4383,3.574,4.5661,0.0757,4.6403,20.6,5.2726,28,19.6,5.1769,26,1,1.0,2,2.1863,0.5366,2.7322,2.2663,1.9127,3.7157
rl+sa (rl_v4),343.2,24.5906,368,212.2,10.4499,226,131,20.1866,151,0.6198,0.0358,0.6647,16.6306,0.5954,17.4482,16.4779,1.1612,17.9288,30.1046,0.6848,30.8554,36.1068,2.5785,38.7435,0.4321,0.9663,2.1606,8.6015,0.2343,8.9651,12.1442,0.3065,12.4739,27.9891,1.7574,29.7097,1.318,0.0225,1.3423,2.0973,0.0554,2.1395,3032.4179,28.4843,3076.0869,1855.176,68.6835,1907.8242,1177.2419,53.8634,1263.9815,0.3883,0.0194,0.421,69.2,11.0091,80,40.3731,4.8496,48.5006,138.4266,11.7758,157.0711,11,3.0822,15,10.8,2.7749,14,0.2,0.4472,1,1.9028,0.5581,2.6273,0.2607,0.0,0.2607
rl+ts (rl_v4),343.2,24.5906,368,218.2,9.2033,228,125,19.7104,149,0.6374,0.0336,0.6706,15.2648,0.9664,16.3224,14.2297,1.0935,15.8564,29.8546,1.1716,31.1182,34.7849,1.8553,36.9849,0.4357,0.7924,1.8267,8.3932,0.3012,8.8536,12.3128,0.2307,12.6756,26.7967,1.5343,28.5149,1.3234,0.0168,1.3472,2.078,0.0473,2.1341,2929.5716,49.8653,2986.4388,1869.8943,66.026,1910.7071,1059.6773,50.189,1109.5058,0.3618,0.0177,0.387,120,10.6066,132,23.0301,3.8,29.0215,86.0783,22.9348,118.2878,10.2,4.6043,16,10,4.9497,16,0.2,0.4472,1,1.8795,0.5988,2.6299,1.6016,0.0,1.6016
rl+ga (rl_v4),343.2,24.5906,368,216.2,8.7006,225,127,19.352,147,0.6315,0.032,0.6618,15.3265,0.4978,15.899,14.0995,1.1543,15.8329,30.1794,0.9065,31.001,35.1323,1.1002,36.411,0.0,0.0,0.0,8.8723,0.3851,9.3295,12.382,0.528,12.7313,28.8457,2.0429,30.7025,1.335,0.0215,1.3644,2.0962,0.0579,2.1565,2920.546,55.663,2995.1182,1867.2783,49.0073,1922.743,1053.2677,79.583,1188.7243,0.3604,0.0218,0.3969,121,7.5829,129,83.6452,7.5869,95.4604,357.6214,59.7551,462.3806,13.6,2.51,17,12.4,3.0496,16,1.2,1.3038,3,1.9411,0.5254,2.7413,2.9697,0.8369,3.899
rl+alns (rl_v4),343.2,24.5906,368,221.2,10.0349,229,122,19.7104,150,0.6461,0.0344,0.6726,15.5451,0.5904,16.2363,14.3085,0.924,15.301,29.969,0.5801,30.6047,34.6021,0.7534,35.7314,0.4864,0.6051,1.1466,8.3827,0.2411,8.7646,12.5681,0.6705,13.5638,28.3555,2.1509,31.8978,1.3284,0.0259,1.3531,2.0582,0.0919,2.1812,2992.1861,52.7091,3057.3768,1911.5062,79.4531,2031.8881,1080.6799,44.5043,1122.3629,0.3613,0.0179,0.3784,103.6,14.9432,121,39.6073,8.0834,50.016,154.2717,34.979,196.1132,10.8,2.6833,14,10.2,3.0332,13,0.6,0.8944,2,2.0097,0.3886,2.4375,3.5321,2.4239,5.2461
