policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,292.6667,12.6623,304,59.3333,24.4404,86,0.8344,0.0533,0.8859,21.0933,2.7949,24.2313,18.466,5.0872,24.3054,44.1828,0.5893,44.8148,50.0266,1.8825,52.0142,0.0,0.0,0.0,14.6747,0.4827,15.198,13.5695,1.1459,14.4316,33.2172,4.5937,35.9667,1.3492,0.0564,1.4033,2.1267,0.1378,2.2385,4079.7547,169.1633,4259.843,2673.8714,79.5473,2765.7196,1405.8833,195.043,1631.0571,0.3438,0.0344,0.3829,0,0.0,0,0.5322,0.2155,0.7782,1.3613,0.6704,2.1347,11.6667,2.0817,14,10.3333,1.5275,12,1.3333,1.1547,2,1.7356,0.1547,1.895,2.3615,2.1597,3.8886
greedy+sa,352,32.909,390,296,10.4403,303,56,30.1164,89,0.8449,0.0694,0.9099,20.3189,1.411,21.8727,16.518,2.078,18.857,44.8063,1.4656,46.1355,52.5172,0.8666,53.3271,0.0,0.0,0.0,14.7138,0.4986,15.1454,13.0329,0.4683,13.4356,30.5447,1.7982,31.7346,1.3168,0.02,1.3298,2.1674,0.0821,2.2335,4003.9998,148.5057,4171.3999,2642.3301,50.0809,2693.7873,1361.6697,100.8437,1477.6126,0.3398,0.0125,0.3542,44.3333,6.6583,50,125.7985,5.7152,132.1816,395.0762,8.8774,404.3079,15.6667,7.5056,23,14.3333,6.5064,21,1.3333,1.1547,2,2.7466,0.8387,3.6987,0.7807,0.2079,0.9277
greedy+ts,352,32.909,390,306,13.4536,317,46,25.2389,73,0.8725,0.0591,0.9309,17.6509,3.4942,21.4171,13.3499,3.0037,16.7201,43.6409,2.6373,46.2152,51.373,1.616,52.8941,0.0,0.0,0.0,13.4858,1.5976,15.0854,13.163,0.7301,13.812,30.255,3.0842,33.0531,1.3199,0.0338,1.3499,2.0759,0.1359,2.2081,3763.314,128.2283,3846.3834,2657.8623,112.9576,2780.7681,1105.4516,92.5423,1212.1579,0.2937,0.0208,0.3151,118,7.5498,125,71.7662,19.0115,92.3651,244.6825,35.0128,281.0476,15.3333,8.7369,25,13,8.7178,23,2.3333,1.5275,4,2.2401,0.7772,3.1094,1.1148,0.7315,1.9402
greedy+ga,352,32.909,390,307,10.1489,316,45,25.9422,74,0.8757,0.0599,0.9279,17.6372,3.6137,21.4407,14.1264,3.7541,18.2833,42.1108,3.4747,44.7987,49.6644,1.012,50.8326,0.0,0.0,0.0,13.0013,1.7622,14.5026,13.2637,1.1048,13.9161,30.4383,3.0816,32.2268,1.3199,0.0594,1.365,2.0736,0.1832,2.183,3769.9634,96.7401,3849.7254,2651.3676,65.3171,2725.6639,1118.5957,112.3735,1246.7472,0.2964,0.0238,0.3239,133,6.9282,141,299.3389,104.366,400.0911,986.0035,102.823,1093.34,8.6667,5.0332,14,7.6667,5.0332,13,1,0.0,1,1.834,0.41,2.2931,0.4978,0.2209,0.6949
greedy+alns,352,32.909,390,314.6667,12.0139,327,37.3333,22.8983,63,0.8971,0.0534,0.9429,16.9528,2.4151,19.3726,13.1342,2.1129,15.5059,42.1005,2.2354,43.4516,48.4733,1.2267,49.8779,0.0,0.0,0.0,12.9615,1.0495,13.7182,13.4521,0.9661,14.223,32.8245,4.8632,35.865,1.3258,0.051,1.3783,2.0711,0.1027,2.1524,3929.2849,107.3622,4042.9345,2689.6082,80.437,2777.3049,1239.6767,159.6352,1423.6715,0.315,0.0327,0.3521,109.3333,3.0551,112,169.8981,40.1923,208.9366,501.6426,51.325,560.8356,6.3333,2.3094,9,6,1.7321,8,0.3333,0.5774,1,1.5353,0.3118,1.851,0.6949,0.0,0.6949
rl (rl_v3ant),352,32.909,390,285,9.6437,292,67,30.7896,101,0.8136,0.0684,0.8769,23.5383,0.9218,24.5914,21.4654,2.8567,24.6912,45.5755,0.1595,45.7091,49.7861,1.5766,51.4907,0.175,0.1974,0.389,15.0762,0.103,15.171,13.9702,0.7806,14.6856,34.9744,2.8003,37.1791,1.3827,0.0276,1.4115,2.2015,0.068,2.2521,4244.0107,164.0063,4429.769,2654.4358,31.676,2678.674,1589.5749,150.5385,1751.0951,0.374,0.0213,0.3953,0,0.0,0,3.8061,0.6868,4.5237,4.7483,0.2289,4.9499,20.3333,1.5275,22,19,0.0,19,1.3333,1.5275,3,1.8264,0.341,2.2092,1.9006,1.1941,2.7449
rl+sa (rl_v3ant),352,32.909,390,294.6667,15.3731,305,57.3333,27.0247,85,0.8403,0.0629,0.9069,21.723,2.0419,24.0514,19.4898,3.4134,23.2089,44.6588,1.5445,46.3685,51.399,3.397,54.4403,0.0,0.0,0.0,13.9254,0.5883,14.5772,13.5041,0.9931,14.1618,32.7219,3.953,35.6776,1.337,0.0437,1.3663,2.1807,0.1343,2.2615,4150.5893,179.125,4341.6361,2680.6507,81.6522,2774.7653,1469.9386,202.0179,1703.1538,0.3533,0.0344,0.3923,105,3.4641,109,128.9139,16.1438,147.3186,371.2058,10.7996,383.675,13.6667,8.3267,23,11.3333,7.7675,20,2.3333,0.5774,3,2.9231,1.9233,5.0711,1.5876,0.3545,1.9963
rl+ts (rl_v3ant),352,32.909,390,309.6667,10.0664,319,42.3333,25.5408,71,0.8833,0.0594,0.9339,17.4723,3.1212,20.8159,13.4094,3.8602,17.7814,43.154,1.3508,44.5216,48.8897,1.7271,50.333,0.0,0.0,0.0,13.3762,1.3314,14.714,13.4377,0.9343,14.2025,30.5164,3.1012,33.0609,1.3375,0.0445,1.3641,2.0892,0.0756,2.1545,3761.169,112.5121,3874.2941,2686.2014,53.5545,2747.9493,1074.9676,122.4169,1216.0527,0.2854,0.0247,0.3139,212.3333,5.5076,216,81.5262,22.1923,103.6014,266.8773,54.4559,325.7867,8,3.4641,12,7.6667,3.7859,12,0.3333,0.5774,1,1.6772,0.6744,2.349,0.6949,0.0,0.6949
rl+ga (rl_v3ant),352,32.909,390,303.3333,14.1539,312,48.6667,28.0951,78,0.8653,0.067,0.9339,18.1644,3.5319,22.0976,14.4622,4.3111,19.4176,43.7863,1.9275,45.0045,51.3377,1.3081,52.7214,0.0,0.0,0.0,13.7737,1.3516,14.9895,13.3529,0.8102,14.0301,32.1234,4.1262,35.4638,1.3343,0.0482,1.3879,2.1156,0.0517,2.1665,3773.1086,111.412,3876.2115,2677.6346,48.6044,2725.8479,1095.474,90.4364,1197.8038,0.2901,0.0164,0.309,208,24.5764,236,311.707,81.4424,402.6341,1008.7104,121.3896,1142.592,14.3333,4.5092,19,12,3.0,15,2.3333,1.5275,4,2.3447,0.2329,2.5712,0.8078,0.1838,0.9412
rl+alns (rl_v3ant),352,32.909,390,311,10.5357,322,41,23.8118,68,0.8868,0.0547,0.9309,18.0388,2.4055,20.7506,14.2148,2.4682,17.0438,42.4072,1.9718,44.3441,48.4671,2.3141,50.5377,0.0,0.0,0.0,12.6683,1.631,14.1657,13.3595,1.1937,14.3861,30.2122,4.4514,33.713,1.3233,0.0752,1.4037,2.0446,0.1772,2.212,4059.155,203.8207,4284.2982,2664.4755,86.573,2763.1497,1394.6795,226.7213,1655.288,0.3425,0.0394,0.3864,149.6667,2.5166,152,174.5091,40.1782,215.5712,496.8149,68.9218,569.8051,7.6667,4.0415,12,6.6667,4.5092,11,1,1.0,2,1.5179,0.9782,2.4632,0.5461,0.466,0.8756
