policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl+sa (rl_v4),352,32.909,390,297.6667,17.4738,317,54.3333,16.9214,73,0.8475,0.0336,0.8799,7.9686,0.5622,8.583,7.6656,0.7054,8.3697,14.5699,0.6121,15.2765,17.4309,0.8944,18.2348,0.2138,0.3704,0.6415,3.9691,0.1222,4.0498,8.401,0.4116,8.7017,15.5526,1.6084,17.0375,1.2674,0.0449,1.315,1.7445,0.108,1.8493,3294.3736,141.6483,3396.7034,1944.4576,84.6226,2042.1348,1349.916,138.3569,1503.3997,0.4093,0.0289,0.4426,87.3333,8.0208,95,20.6724,7.0459,26.9321,92.3211,27.8819,114.0782,11.6667,6.6583,19,11.3333,6.1101,18,0.3333,0.5774,1,1.1346,0.3043,1.4197,2.4609,0.0,2.4609
rl+ts (rl_base),352,32.909,390,300,19.975,322,52,15.0997,68,0.8538,0.0303,0.8859,6.8503,0.924,7.8764,6.2748,0.9636,7.3833,14.1172,0.9896,15.0154,18.2051,2.4338,21.0151,0.0,0.0,0.0,4.1012,0.2508,4.3331,8.4857,0.3388,8.7077,16.6708,1.4565,17.6446,1.2723,0.0268,1.3006,1.8107,0.1197,1.8944,3003.5358,183.2476,3170.1857,1942.4843,121.4425,2073.4066,1061.0515,75.9959,1112.5997,0.3532,0.0118,0.3668,178,8.1854,187,10.7732,2.2875,12.9821,34.58,12.4502,45.3198,9.6667,6.0277,16,9.6667,6.0277,16,0,0.0,0,1.1785,0.4053,1.5294,,,
rl+ts (rl_v3),352,32.909,390,297.6667,18.9033,319,54.3333,14.9778,71,0.8472,0.0281,0.8739,6.3907,0.9206,7.4422,5.8892,0.9409,6.9753,13.3525,1.4769,14.9602,17.7662,1.8262,19.8701,0.0,0.0,0.0,3.8754,0.3515,4.2627,8.2219,0.2265,8.4248,15.3902,1.2057,16.2578,1.2549,0.0151,1.2723,1.725,0.0699,1.8035,2932.6484,188.0246,3119.3464,1908.594,102.8465,2023.9647,1024.0543,94.5559,1095.3817,0.3488,0.0136,0.3611,191.3333,7.0946,199,10.2362,1.839,11.9316,31.8044,8.4434,37.1631,6.6667,7.3711,15,6.6667,7.3711,15,0,0.0,0,1.2721,0.5357,1.8375,,,
rl+ts (rl_v4),352,32.909,390,298,14.4222,314,54,19.4679,76,0.849,0.0398,0.8829,6.616,0.7806,7.4834,6.1028,1.1123,7.3714,14.1001,0.8762,14.9118,19.1521,2.1251,21.0151,0.0,0.0,0.0,4.0395,0.3108,4.3687,8.3606,0.3309,8.6025,15.5256,1.3361,16.4322,1.2617,0.0232,1.2834,1.795,0.1336,1.9129,2985.7931,161.7782,3142.2662,1918.8234,76.075,2006.4466,1066.9697,102.1813,1135.8196,0.3569,0.0182,0.3723,177.3333,7.7675,186,10.2429,1.441,11.3347,30.0488,8.5408,35.4953,7.6667,5.5076,14,7.6667,5.5076,14,0,0.0,0,1.3979,0.5092,1.9376,,,
rl+ga (rl_base),352,32.909,390,299.6667,19.4251,321,52.3333,15.6312,69,0.8529,0.0315,0.8859,6.6997,0.9257,7.6598,6.0447,0.8639,6.9819,13.9719,0.9945,15.0195,17.6466,0.787,18.4096,0.0,0.0,0.0,4.0084,0.3289,4.3454,8.4212,0.3432,8.6432,16.0683,1.7598,17.8479,1.2718,0.0401,1.3125,1.8414,0.2068,1.995,2979.8686,143.4835,3096.5106,1945.5668,89.1927,2045.8233,1034.3018,82.7102,1107.5928,0.3469,0.017,0.3663,171.3333,5.8595,178,40.0563,18.1715,56.051,239.0366,81.5846,290.722,8,7.0,16,8,7.0,16,0,0.0,0,1.1114,0.0764,1.1949,,,
rl+ga (rl_v3),352,32.909,390,295.3333,14.6401,311,56.6667,20.108,79,0.8414,0.0415,0.8799,6.6051,0.9545,7.6424,5.9569,0.9085,6.9676,13.7728,1.4407,15.0274,18.6975,1.7125,20.2088,0.0,0.0,0.0,3.9688,0.3334,4.2302,8.2691,0.3745,8.6484,15.6602,1.8521,17.3472,1.2579,0.0222,1.278,1.7828,0.1236,1.8678,2974.6742,184.1746,3155.1151,1899.7944,61.7835,1965.1129,1074.8798,123.3477,1190.0022,0.3605,0.0196,0.3772,181.3333,8.5049,191,25.7517,9.4886,34.5716,152.1425,130.0975,279.1219,7.6667,6.6583,15,7.6667,6.6583,15,0,0.0,0,1.3732,0.2541,1.592,,,
rl+ga (rl_v4),352,32.909,390,297.6667,17.4738,317,54.3333,16.9214,73,0.8475,0.0336,0.8799,6.7056,0.9225,7.6612,6.1401,0.9162,7.102,14.1102,0.9267,14.9163,17.8067,1.4934,19.5265,0.0,0.0,0.0,4.0236,0.2581,4.2343,8.3898,0.2972,8.6341,15.73,1.2408,16.6169,1.269,0.0219,1.2926,1.7654,0.1274,1.9007,2976.9021,147.7961,3121.1285,1932.3952,83.6601,2028.2312,1044.5068,80.297,1092.8973,0.3506,0.014,0.3649,181,9.5394,187,35.2857,15.5782,48.8397,199.2542,78.5453,288.4975,8.6667,5.5076,15,8.6667,5.5076,15,0,0.0,0,1.1526,0.2977,1.4958,,,
rl+alns (rl_base),352,32.909,390,301.6667,15.8219,319,50.3333,18.5831,71,0.8592,0.0388,0.8949,7.5919,0.3847,8.0289,7.2363,0.2176,7.4516,14.1524,0.5395,14.7055,18.7408,1.3311,20.2344,0.0,0.0,0.0,3.8821,0.2092,4.0449,8.4036,0.1607,8.564,16.4408,0.9564,17.5036,1.2706,0.0211,1.2932,1.8379,0.0179,1.8585,3321.6491,154.0078,3452.6625,1961.617,66.8806,2020.838,1360.0321,108.8735,1477.7298,0.4091,0.0164,0.428,75.3333,15.6312,92,23.5519,6.2372,29.7639,96.3265,31.6219,128.1868,8.3333,3.2146,12,8.3333,3.2146,12,0,0.0,0,1.554,0.6775,2.3352,,,
rl+alns (rl_v3),352,32.909,390,295,15.3948,312,57,18.735,78,0.8402,0.0374,0.8739,7.6238,0.3208,7.8774,7.4801,0.3273,7.7567,14.1329,0.8933,14.8591,18.4484,2.0225,20.6734,0.0,0.0,0.0,3.7114,0.0853,3.767,8.097,0.3508,8.4736,15.2833,1.5832,16.9694,1.2373,0.022,1.2546,1.7654,0.1326,1.886,3407.1203,129.8156,3520.8787,1900.2159,59.9772,1958.2003,1506.9044,98.3615,1616.8583,0.4421,0.0153,0.4592,67,15.7162,81,18.4689,5.1427,21.5555,76.2107,24.6839,95.3829,8.6667,4.6188,14,8.6667,4.6188,14,0,0.0,0,1.2445,0.663,1.9732,,,
rl+alns (rl_v4),352,32.909,390,300,17.3494,319,52,17.3494,71,0.8542,0.0355,0.8889,7.8688,0.6528,8.527,7.7328,0.6955,8.3527,14.6393,0.7289,15.4387,17.2679,0.8487,17.9323,0.0,0.0,0.0,3.8079,0.2135,4.0337,8.2092,0.2056,8.4456,14.9372,0.6978,15.733,1.2468,0.0059,1.2515,1.774,0.09,1.8702,3382.5443,131.6534,3482.1642,1937.8821,31.0384,1955.8983,1444.6622,101.3272,1526.2659,0.4267,0.0136,0.4383,75.3333,8.0208,83,22.7109,7.4077,29.0484,96.497,37.4249,129.6106,11,8.1854,20,11,8.1854,20,0,0.0,0,0.9071,0.1457,1.0206,,,
