policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,293.3333,16.0416,310,58.6667,19.7569,80,0.8355,0.041,0.8769,7.3617,0.6149,7.9691,7.018,0.5648,7.6154,14.7342,0.8153,15.2946,17.1313,1.0815,18.0123,0.0,0.0,0.0,4.3468,0.1858,4.4829,8.278,0.3437,8.5698,16.1218,1.8535,17.8633,1.2488,0.0306,1.2757,1.7421,0.1568,1.8658,3201.1708,164.2135,3303.6337,1931.8936,72.3029,2008.5155,1269.2773,111.724,1365.8165,0.3961,0.0176,0.4154,0,0.0,0,0.127,0.021,0.1472,0.2466,0.0342,0.272,11.6667,7.5056,16,11.6667,7.5056,16,0,0.0,0,1.0526,0.5341,1.579,,,
greedy+sa,352,32.909,390,297.3333,17.2434,316,54.6667,17.7858,74,0.8467,0.0363,0.8829,7.1754,0.6407,7.81,6.9655,0.8056,7.7158,14.2975,0.3856,14.6939,16.7202,0.1752,16.8919,0.0,0.0,0.0,4.211,0.1851,4.3249,8.272,0.3012,8.5587,15.3329,1.4651,16.4061,1.2553,0.0255,1.2761,1.7659,0.1778,1.9361,3145.338,148.1067,3248.8204,1953.3721,54.7338,2015.8258,1191.9659,128.2174,1318.2824,0.3783,0.025,0.4058,32.3333,5.0332,37,14.5578,5.2727,18.0208,69.948,48.1029,99.6899,9,3.6056,13,9,3.6056,13,0,0.0,0,0.8329,0.1131,0.9025,,,
greedy+ts,352,32.909,390,301.3333,21.5019,325,50.6667,14.0119,65,0.8574,0.0285,0.8889,6.666,0.8499,7.6272,6.1977,0.9821,7.2894,13.7286,0.9257,14.7792,19.1933,2.1394,21.0151,0.0,0.0,0.0,3.9895,0.2159,4.2293,8.4038,0.3142,8.6566,16.1007,1.7706,17.1796,1.2675,0.0272,1.2949,1.7713,0.1104,1.8856,2989.6512,181.4126,3150.5533,1936.7243,111.6597,2056.8172,1052.9269,83.3867,1108.0491,0.352,0.0125,0.3663,75.6667,12.4231,90,7.5196,2.2459,9.9238,26.394,10.8401,37.9222,8,3.6056,12,8,3.6056,12,0,0.0,0,1.1562,0.1054,1.2511,,,
greedy+ga,352,32.909,390,300.6667,18.4481,321,51.3333,16.2583,69,0.8559,0.0329,0.8889,6.6655,0.9543,7.7452,6.1758,1.135,7.4188,13.5321,0.951,14.5524,18.4941,2.2189,21.0151,0.0,0.0,0.0,3.934,0.2603,4.2338,8.4306,0.3312,8.6654,15.9822,1.5114,17.1716,1.27,0.0311,1.3016,1.803,0.154,1.9754,2992.3526,157.8148,3140.2655,1946.2706,94.6018,2053.4456,1046.082,81.8761,1099.5982,0.3494,0.0145,0.3652,76.3333,17.0392,96,25.2832,15.0453,40.6513,148.988,131.8663,277.3577,7.6667,4.6188,13,7.6667,4.6188,13,0,0.0,0,1.1312,0.3345,1.501,,,
greedy+alns,352,32.909,390,302.3333,19.218,323,49.6667,16.563,67,0.8607,0.0351,0.8979,6.7376,0.7329,7.5366,6.0394,0.501,6.3905,14.2214,0.956,15.3225,18.2152,0.5999,18.8092,0.0,0.0,0.0,4.1779,0.2347,4.4473,8.1613,0.2249,8.3584,14.9416,1.2625,16.0221,1.2453,0.0259,1.275,1.7395,0.1441,1.8604,3143.3636,153.942,3246.697,1949.1298,66.4381,1999.6408,1194.2338,92.3146,1272.8179,0.3796,0.0119,0.392,42.6667,17.5594,61,18.6071,8.1889,26.6477,80.0583,30.0578,108.2821,12,8.6603,22,12,8.6603,22,0,0.0,0,1.398,0.5393,1.9646,,,
rl (rl_base),352,32.909,390,295,18.3303,315,57,16.7033,75,0.8398,0.0331,0.8739,8.3452,0.6622,8.9677,8.1664,1.0422,9.1754,15.1777,0.4318,15.5937,18.5317,1.5301,20.2978,0.0,0.0,0.0,4.1444,0.1042,4.2237,8.4678,0.1112,8.551,17.5419,1.5204,19.0879,1.2776,0.0229,1.3039,1.9206,0.0639,1.9911,3390.5094,139.1842,3472.5203,1928.8487,74.9641,2000.7886,1461.6607,79.8816,1537.951,0.431,0.0105,0.4429,0,0.0,0,2.2976,0.2462,2.5629,3.1288,0.4506,3.4502,18.3333,6.0277,24,18.3333,6.0277,24,0,0.0,0,1.069,0.0753,1.1297,,,
rl (rl_v3),352,32.909,390,287.3333,12.0554,300,64.6667,22.5019,90,0.819,0.0456,0.8589,8.4976,0.475,8.8334,8.1352,0.3982,8.4006,15.374,0.9676,16.2115,18.1279,1.1259,19.1095,0.2863,0.4959,0.8588,3.9553,0.1978,4.1705,8.4205,0.3604,8.8083,16.4033,1.2615,17.831,1.2775,0.0297,1.2976,1.8824,0.1334,1.9971,3446.6941,118.547,3544.132,1892.5082,31.9653,1929.4185,1554.186,114.7148,1670.0654,0.4505,0.0188,0.4712,0,0.0,0,2.33,0.1807,2.4453,3.7197,0.5833,4.3826,17.3333,7.3711,23,17.3333,7.3711,23,0,0.0,0,1.225,0.256,1.5204,,,
rl (rl_v4),352,32.909,390,293,16.0935,310,59,19.3132,80,0.8345,0.0395,0.8739,8.5537,0.5345,9.0223,8.2674,0.6561,8.9097,15.313,0.4685,15.8351,19.2802,0.724,19.98,0.1282,0.222,0.3845,4.0833,0.059,4.1388,8.6634,0.3553,8.9876,17.3139,1.527,18.2162,1.2948,0.0274,1.321,1.9607,0.0939,2.0508,3427.751,113.6364,3503.0913,1944.762,58.2175,2010.6015,1482.989,91.7203,1579.4956,0.4324,0.016,0.4509,0,0.0,0,2.239,0.0433,2.2811,3.3144,0.0626,3.351,18.6667,6.6583,26,18.6667,6.6583,26,0,0.0,0,1.3726,0.2823,1.681,,,
rl+sa (rl_base),352,32.909,390,295.6667,13.5769,310,56.3333,21.2211,80,0.8425,0.0445,0.8829,7.7161,0.3546,8.1167,7.4631,0.4652,7.7879,14.7067,0.3746,15.1389,18.5362,1.8632,20.4575,0.0,0.0,0.0,4.1165,0.1947,4.3375,8.4495,0.3016,8.6816,17.1304,1.9048,19.0862,1.274,0.0298,1.3079,1.8438,0.159,2.0239,3292.0975,161.9907,3405.3968,1946.1062,70.9623,2022.3084,1345.9913,123.3812,1471.3042,0.4084,0.0206,0.4321,89,9.5394,95,19.7788,3.9145,22.4251,83.2534,20.6273,106.6048,12,5.1962,18,12,5.1962,18,0,0.0,0,1.1989,0.0942,1.2586,,,
rl+sa (rl_v3),352,32.909,390,293,16.3707,311,59,18.0278,79,0.8344,0.0353,0.8679,7.7186,0.5339,8.0747,7.2578,0.4764,7.5359,14.3745,0.2551,14.6375,18.0452,1.2121,19.1395,0.0,0.0,0.0,3.8979,0.0458,3.9388,8.1732,0.297,8.5003,15.2714,0.2097,15.4428,1.2471,0.0275,1.2695,1.7021,0.11,1.7827,3291.599,124.0707,3369.7318,1916.7344,61.0881,1981.8816,1374.8646,81.3531,1448.9438,0.4175,0.0123,0.4317,94,16.4621,113,17.286,4.3883,21.7465,69.2269,4.654,74.6,9.6667,2.3094,11,9.6667,2.3094,11,0,0.0,0,1.1081,0.1607,1.2896,,,
