policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,271,11.5326,282,81,34.0441,118,0.774,0.0748,0.8468,15.5994,0.6005,16.2636,13.9069,0.5315,14.5187,30.5933,0.4777,31.0519,34.8592,0.8779,35.8689,0.0453,0.0784,0.1358,9.3452,0.4915,9.7831,12.9326,0.1087,13.0296,30.9426,1.9191,32.8095,1.3425,0.0064,1.3498,2.1307,0.069,2.2044,4113.1471,123.5737,4253.505,2507.3704,86.7342,2592.1785,1605.7767,53.7094,1661.3264,0.3904,0.0081,0.3984,0,0.0,0,2.6621,0.4592,3.1677,3.7329,0.2637,4.026,19.6667,6.6583,27,19.3333,7.0946,27,0.3333,0.5774,1,1.609,0.2428,1.867,0.6949,0.0,0.6949
rl (rl_v3),352,32.909,390,232.3333,9.8658,239,119.6667,28.2902,151,0.6627,0.0495,0.7117,11.2228,0.7273,12.0587,9.2875,0.663,9.9716,27.0333,0.8832,28.05,32.3656,1.5157,34.1119,0.1645,0.285,0.4936,7.2577,0.5085,7.814,10.7496,0.4125,11.2119,21.0043,0.6182,21.7137,1.1996,0.0243,1.2254,1.7388,0.2141,1.9856,4010.8626,98.7082,4082.6624,2129.214,39.9637,2170.1698,1881.6486,73.7669,1955.5128,0.469,0.0086,0.479,0,0.0,0,2.6053,0.0364,2.641,4.2202,0.2393,4.3935,5,1.7321,6,4,2.0,6,1,1.0,2,1.4861,0.7235,2.2071,0.4899,0.2725,0.6826
rl (rl_v4),352,32.909,390,262.3333,9.5044,272,89.6667,24.9466,118,0.748,0.0458,0.7868,14.5679,1.0993,15.3083,12.3442,1.2878,13.1598,29.6928,0.3299,30.0046,36.8236,2.1438,39.2884,0.0,0.0,0.0,9.0255,0.2512,9.2439,11.9917,0.3354,12.2411,27.8804,2.4586,30.3356,1.2899,0.0255,1.3193,2.081,0.0535,2.1428,4085.3941,84.966,4183.1719,2370.8447,41.2106,2398.1552,1714.5493,73.8138,1792.2345,0.4196,0.0113,0.4284,0,0.0,0,2.887,0.3459,3.2855,5.2865,1.579,7.1097,12,1.0,13,11,2.0,13,1,1.0,2,2.4512,0.7767,3.2324,3.9971,0.9194,4.6472
rl (rl_v5),352,32.909,390,272.3333,8.9629,278,79.6667,29.9555,113,0.7773,0.0628,0.8348,16.6032,0.7915,17.4286,15.8414,0.8032,16.5675,30.6312,0.5146,31.1658,35.2831,1.2949,36.6438,0.1597,0.2766,0.4791,9.317,0.0977,9.4083,13.4781,0.7303,13.9433,32.8001,1.7004,34.5556,1.3551,0.0301,1.3753,2.1929,0.0189,2.2141,4163.3864,231.5118,4406.268,2560.9465,46.7504,2594.6971,1602.4399,190.8651,1811.5709,0.384,0.0243,0.4111,0,0.0,0,2.5506,0.1786,2.7116,4.3222,0.4805,4.8162,20,4.3589,23,18.6667,4.5092,23,1.3333,1.5275,3,1.7201,0.1928,1.835,1.1019,0.5756,1.5089
rl+sa (rl_base),352,32.909,390,279,9.5394,285,73,28.8444,105,0.7961,0.0615,0.8529,14.9119,0.6063,15.5915,13.4691,0.9575,14.3721,29.4702,0.3745,29.831,33.5513,1.2291,34.635,0.1562,0.2705,0.4685,8.8387,0.2642,8.9987,12.7101,0.9006,13.572,29.7342,3.609,33.8562,1.3096,0.0522,1.3588,2.0879,0.1343,2.2111,4043.8962,167.3539,4223.7663,2559.5469,69.9797,2634.5875,1484.3493,165.9821,1675.7814,0.3665,0.0273,0.3968,83.6667,1.5275,85,55.526,7.4558,62.2913,204.9509,32.1778,240.3535,11,1.7321,13,10.3333,1.5275,12,0.6667,0.5774,1,1.4946,0.2577,1.6466,0.6183,0.1083,0.6949
rl+sa (rl_v3),352,32.909,390,235.3333,11.5902,243,116.6667,29.9054,149,0.6714,0.056,0.7297,10.3715,0.5292,10.9738,9.0716,0.6636,9.8355,22.9553,2.1728,25.4487,31.0639,2.2843,32.4426,0.0,0.0,0.0,6.2104,0.3464,6.6072,10.1024,0.0915,10.2057,18.7957,1.2916,20.2844,1.1585,0.01,1.1694,1.4917,0.0088,1.5011,3899.9354,73.3924,3966.3499,2106.9916,62.7277,2152.9802,1792.9438,17.9213,1813.3697,0.4598,0.0066,0.4673,62.6667,7.5719,68,12.3713,2.2698,14.8794,42.1809,28.5482,73.7809,1.3333,0.5774,2,1,1.0,2,0.3333,0.5774,1,2.1835,0.3664,2.4426,0.6949,0.0,0.6949
rl+sa (rl_v4),352,32.909,390,266.3333,12.6623,276,85.6667,31.2623,119,0.7602,0.067,0.8288,13.8701,0.9386,14.8048,12.0848,0.6319,12.7393,28.6876,1.6023,30.0272,33.5052,1.8412,34.8663,0.1804,0.3125,0.5413,8.2747,0.5735,8.7275,11.4516,0.3085,11.6543,24.6099,1.6777,26.5464,1.243,0.0117,1.2524,1.8675,0.0646,1.9165,4041.485,98.2044,4151.8232,2375.0484,40.1851,2398.8524,1666.4366,75.8704,1752.9708,0.4122,0.0101,0.4222,80.6667,3.7859,85,36.1333,4.5772,41.2534,144.9077,29.8055,179.2952,8,5.0,13,8,5.0,13,0,0.0,0,1.3806,0.7029,1.9769,,,
rl+sa (rl_v5),352,32.909,390,278.6667,11.0604,289,73.3333,24.8261,101,0.7946,0.0503,0.8408,15.369,1.1413,16.416,14.2482,1.5809,15.8986,29.7118,0.4063,29.9726,37.4717,0.3547,37.8717,0.1816,0.3146,0.5449,8.7959,0.0662,8.8723,13.3799,1.0547,14.387,31.1943,3.6257,35.1007,1.3468,0.0623,1.4123,2.1663,0.0664,2.2224,4064.6147,123.7624,4205.8162,2586.9437,59.2688,2651.5081,1477.671,138.8602,1631.4983,0.3632,0.0243,0.3879,88.3333,4.1633,93,59.0607,16.1211,74.3592,213.558,45.1823,252.7202,14.3333,2.5166,17,12.6667,1.1547,14,1.6667,1.5275,3,2.2067,0.5595,2.8493,0.5946,0.1196,0.6792
rl+ts (rl_base),352,32.909,390,286.3333,13.6137,297,65.6667,31.6596,99,0.8173,0.0729,0.8919,13.2671,0.8314,14.2187,11.0271,1.1025,12.1285,29.2042,0.689,29.7345,34.8844,1.9657,36.0455,0.0,0.0,0.0,8.8864,0.2528,9.1759,12.7327,0.7161,13.3829,29.6568,3.1558,32.7167,1.3159,0.0406,1.3414,2.088,0.1258,2.1701,3748.4693,169.2323,3875.8337,2526.4726,54.6405,2579.1344,1221.9967,130.0199,1345.598,0.3254,0.0209,0.3472,171,16.6433,190,29.3726,2.8653,32.1437,110.7753,10.6613,122.9363,9,3.6056,13,8.6667,4.0415,13,0.3333,0.5774,1,2.1058,0.4486,2.4744,0.6949,0.0,0.6949
rl+ts (rl_v3),352,32.909,390,245.6667,10.9697,252,106.3333,29.023,138,0.7009,0.0553,0.7568,8.4472,1.0195,9.6107,7.4724,0.8046,8.395,18.5238,1.9534,20.7765,27.5133,2.3127,29.0211,0.0,0.0,0.0,5.219,0.492,5.7472,10.5743,0.3972,11.0167,20.2101,0.28,20.5226,1.1802,0.006,1.1839,1.5838,0.0239,1.609,3522.2061,193.2784,3719.8255,2171.2695,79.6889,2253.8259,1350.9366,113.6347,1465.9996,0.3831,0.0113,0.3941,160.3333,8.0829,165,8.4963,0.5335,9.1065,22.7906,4.0594,27.4056,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.6949,0.0,0.6949
