policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl+ts (rl_v4),352,32.909,390,277.3333,10.6927,284,74.6667,28.589,106,0.7913,0.0609,0.8498,11.8746,1.3287,13.3984,9.4631,0.921,10.5087,27.4789,0.8899,28.4994,35.1715,3.128,38.768,0.0,0.0,0.0,8.2809,0.5845,8.9558,11.9772,0.6163,12.672,26.5495,3.0326,29.9911,1.2669,0.0228,1.2923,1.9011,0.1282,2.0484,3676.3556,132.5355,3789.0427,2445.1114,16.8662,2463.7845,1231.2441,125.2077,1348.4766,0.3344,0.0223,0.3559,184.6667,11.5902,197,20.2935,3.2195,23.8089,72.9576,16.2895,88.0171,8,3.0,11,7.3333,3.2146,11,0.6667,1.1547,2,2.1283,1.0743,3.3639,1.8226,0.0,1.8226
rl+ts (rl_v5),352,32.909,390,287.6667,16.1658,297,64.3333,28.5015,93,0.8204,0.0661,0.8919,12.9292,1.4817,14.2512,10.4542,1.8461,12.4092,29.3903,1.2876,30.4563,33.1265,1.1785,34.0727,0.0,0.0,0.0,8.7355,0.7188,9.3053,13.1699,1.2829,13.9966,31.9318,6.8539,37.0608,1.3263,0.0575,1.3788,2.1364,0.1877,2.2496,3727.8187,82.693,3795.276,2573.9063,63.0415,2643.6963,1153.9124,105.2571,1274.188,0.3093,0.0229,0.3357,177.3333,26.4071,206,28.0077,4.7809,33.5268,100.413,20.5815,123.8657,12,8.1854,19,10.3333,6.6583,16,1.6667,1.5275,3,1.393,0.4219,1.6862,1.0562,0.8843,1.6815
rl+ga (rl_base),352,32.909,390,287.6667,13.0512,298,64.3333,25.7747,92,0.8203,0.0564,0.8769,12.7855,0.9044,13.8163,10.3547,0.9252,11.4091,29.0015,0.8512,29.6884,33.5071,1.9301,35.7024,0.0,0.0,0.0,8.7147,0.2935,8.9777,12.7941,0.9743,13.6814,30.0219,4.6495,34.1949,1.308,0.0587,1.3677,2.0524,0.1554,2.1572,3711.3509,132.629,3846.8625,2550.8749,28.9175,2584.0702,1160.476,133.7717,1309.4579,0.3121,0.0249,0.3404,175,13.8564,191,136.0417,35.5495,175.8431,533.6386,118.9496,666.5904,10,4.5826,15,9.3333,4.1633,14,0.6667,0.5774,1,1.1613,0.4385,1.6546,0.8308,0.1921,0.9667
rl+ga (rl_v3),352,32.909,390,246.3333,9.8658,253,105.6667,30.2379,139,0.703,0.0581,0.7598,8.418,0.7355,9.267,7.1838,0.3586,7.5902,18.7447,1.4682,20.4396,30.8668,6.3588,37.9442,0.0,0.0,0.0,5.4831,0.3833,5.8901,10.5775,0.1102,10.6756,21.0841,1.7059,22.8589,1.1784,0.0088,1.1885,1.5933,0.054,1.6544,3531.2131,129.6526,3635.4237,2210.7889,57.5366,2253.9736,1320.4242,80.9994,1402.5034,0.3737,0.0105,0.3858,165,5.5678,171,15.6305,7.9052,24.5445,65.3721,83.6539,161.9647,1,1.0,2,0.6667,1.1547,2,0.3333,0.5774,1,4.4968,0.0,4.4968,0.6949,0.0,0.6949
rl+ga (rl_v4),352,32.909,390,275.6667,10.9697,282,76.3333,29.023,108,0.7866,0.0619,0.8468,11.6823,1.0374,12.8579,9.296,0.9747,10.4214,27.466,2.3912,30.2253,34.8584,3.4763,38.768,0.0,0.0,0.0,8.1162,0.78,9.0161,11.8704,0.4879,12.3588,25.8085,2.3805,27.6345,1.2681,0.0201,1.2845,1.9466,0.1105,2.0608,3706.1374,128.1597,3826.7242,2417.6896,42.3288,2456.5965,1288.4478,104.2216,1402.8674,0.3473,0.0168,0.3666,181.3333,11.547,188,77.6752,19.6364,100.2333,365.7751,78.8905,456.7174,8,6.0828,15,7.6667,6.3509,15,0.3333,0.5774,1,1.957,0.7379,2.6852,0.6949,0.0,0.6949
rl+ga (rl_v5),352,32.909,390,285.3333,12.6623,295,66.6667,31.2623,100,0.8144,0.0712,0.8859,13.1538,1.1205,14.4023,10.9563,1.5541,12.7424,29.0667,0.6048,29.7136,34.2952,1.8694,35.4902,0.0,0.0,0.0,8.6964,0.4012,9.1142,12.9018,0.7424,13.6063,30.1311,3.2502,32.3657,1.3101,0.0311,1.3394,2.0428,0.1586,2.1738,3735.7647,131.9901,3847.9096,2554.2391,41.9318,2581.2528,1181.5256,91.7318,1266.6568,0.316,0.0136,0.3292,182.6667,20.1329,204,138.2411,22.9126,162.962,576.9743,78.8759,635.3016,8.6667,4.5092,13,8,4.0,12,0.6667,0.5774,1,1.6398,0.4658,1.9307,1.382,0.9717,2.0691
rl+alns (rl_base),352,32.909,390,289,12.1244,296,63,28.8271,94,0.8246,0.065,0.8889,13.7212,0.8952,14.3939,12.0173,0.9645,12.6922,28.4031,1.3108,29.6596,34.669,3.1027,38.1982,0.0,0.0,0.0,8.513,0.6046,9.087,12.9131,0.9014,13.6,29.4124,3.1549,32.3381,1.3118,0.0481,1.3439,2.0801,0.1456,2.1814,3993.1287,149.1619,4162.8036,2591.6844,40.3531,2637.1624,1401.4444,159.5465,1585.0727,0.3503,0.0269,0.3808,121.3333,4.1633,126,74.9655,13.1386,89.7667,285.8313,56.8861,350.1071,10.3333,4.7258,14,9.3333,4.0415,13,1,1.0,2,1.7081,0.1889,1.8851,1.4327,0.913,2.0782
rl+alns (rl_v3),352,32.909,390,233.6667,12.3423,244,118.3333,25.4231,146,0.666,0.0433,0.7117,10.1227,0.6275,10.6669,9.3273,0.5996,10.0182,20.4439,1.9474,21.9171,26.9123,0.5509,27.316,0.0,0.0,0.0,5.3424,0.5105,5.7389,10.1408,0.3327,10.5154,18.6957,0.4594,19.1851,1.1665,0.0012,1.1673,1.5148,0.0344,1.5441,3983.1947,171.536,4126.2717,2088.5042,44.8929,2139.9824,1894.6905,161.3852,2058.2279,0.4751,0.0213,0.4988,46.3333,20.502,70,10.0228,4.0738,14.7222,46.108,17.6714,66.4549,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
rl+alns (rl_v4),352,32.909,390,283.6667,11.3725,293,68.3333,26.0832,97,0.809,0.0554,0.8619,12.7457,0.8221,13.583,10.8096,0.7692,11.6321,27.9434,0.8467,28.6392,33.5333,1.2473,34.9565,0.0,0.0,0.0,7.9621,0.3753,8.3219,12.0953,0.5599,12.4791,26.5707,3.0871,29.8166,1.2802,0.0293,1.3002,1.971,0.1048,2.0672,3978.488,133.2986,4130.1145,2479.907,30.8152,2508.4392,1498.581,127.9525,1646.0614,0.3763,0.0197,0.3986,115.3333,4.5092,120,58.2649,15.0703,74.6936,244.2648,59.06,309.7773,5.3333,1.5275,7,5,1.0,6,0.3333,0.5774,1,1.7434,0.8618,2.7377,3.3469,0.0,3.3469
rl+alns (rl_v5),352,32.909,390,287,8.7178,293,65,30.5123,99,0.8193,0.0677,0.8799,14.0807,0.7358,14.7771,12.7972,0.2695,12.9824,28.38,1.3437,29.1838,33.6166,1.2583,34.627,0.1781,0.3084,0.5342,7.9939,0.4886,8.4078,12.8604,0.8339,13.3585,28.5236,3.6271,30.8437,1.305,0.0339,1.3341,2.0333,0.0979,2.1088,4070.9957,201.8209,4291.0994,2535.9143,6.7584,2540.1586,1535.0813,196.9956,1751.6358,0.3761,0.0293,0.4082,111.6667,9.8658,123,74.4101,12.6332,83.6433,303.1677,66.6364,353.2964,8.3333,4.0415,12,8,4.0,12,0.3333,0.5774,1,1.5654,0.529,1.9171,0.6949,0.0,0.6949
