policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_v6),343.2,24.5906,368,256.4,13.5573,267,86.8,15.3036,105,0.7483,0.0295,0.7853,17.1324,0.8728,17.9099,17.1297,1.6887,18.9341,31.2419,1.0176,32.6979,37.1975,2.7138,41.1676,0.0493,0.1102,0.2463,9.2645,0.2406,9.621,14.6655,0.3863,15.071,36.4944,1.9005,38.6564,1.4109,0.0225,1.433,2.2617,0.0398,2.319,3966.135,177.0916,4128.8426,2492.71,99.9845,2606.4599,1473.425,87.7234,1586.6541,0.3714,0.0086,0.3843,0,0.0,0,2.6957,0.2185,3.059,4.4494,0.5401,4.8711,22.8,7.791,36,20,7.3485,32,2.8,1.3038,4,2.2618,0.5825,3.0508,1.5946,1.4172,4.0516
rl+sa (rl_v6),343.2,24.5906,368,263,11.2027,276,80.2,19.6392,103,0.7683,0.0422,0.8118,15.612,0.3112,16.0164,14.246,0.5619,14.8717,30.1759,1.0706,31.3872,34.8115,1.1313,36.5524,0.0,0.0,0.0,8.907,0.2995,9.3163,13.5607,0.4809,14.0886,32.8034,2.5901,36.3423,1.3243,0.0279,1.3691,2.1604,0.0593,2.2343,3905.4217,129.3648,4094.746,2471.7489,84.156,2552.4975,1433.6728,89.8893,1583.5053,0.367,0.0156,0.3867,91.2,14.1492,115,59.5821,3.5932,63.0626,224.0258,22.4852,249.2783,15,3.1623,19,13.4,4.1593,18,1.6,1.5166,4,1.8848,0.3297,2.1471,1.4954,0.8827,2.5702
rl+ts (rl_v6),343.2,24.5906,368,270.4,14.2056,287,72.8,18.1852,93,0.7895,0.0407,0.8441,13.0738,0.4631,13.8486,10.4471,0.7712,11.2927,29.5093,1.3253,31.5399,35.955,1.9432,39.0431,0.0,0.0,0.0,9.0719,0.766,9.713,13.5211,0.496,14.1333,32.3041,1.3831,33.433,1.3291,0.0243,1.3681,2.1446,0.0479,2.1931,3588.6199,133.6204,3727.9611,2468.7774,114.3417,2619.5042,1119.8425,83.5181,1257.673,0.312,0.0196,0.3389,162.2,21.0761,198,28.5256,3.4608,33.1803,110.3222,22.8498,144.4509,12,6.7082,23,10.4,5.5946,19,1.6,1.8166,4,2.2314,0.7199,3.1722,0.5646,0.4577,1.0153
rl+ga (rl_v6),343.2,24.5906,368,270.8,10.0846,281,72.4,18.6762,93,0.7911,0.0405,0.8301,13.5751,0.5319,14.4715,10.715,0.9362,11.9722,30.1387,0.4995,30.9069,34.6466,1.5255,36.0634,0.0,0.0,0.0,9.3017,0.5881,9.935,13.613,0.5813,14.3751,32.5828,2.8825,36.4735,1.3387,0.0264,1.3791,2.1502,0.0733,2.2258,3637.4541,116.3021,3769.5766,2478.1011,79.343,2588.7874,1159.3531,69.5376,1279.6795,0.3186,0.013,0.3395,160.4,14.9432,177,145.1645,15.1184,169.1371,625.0607,11.7978,645.2522,15.4,3.2863,19,14.4,2.4083,17,1,1.0,2,1.6374,0.4894,2.365,1.2971,0.8119,2.0037
rl+alns (rl_v6),343.2,24.5906,368,274.6,10.761,284,68.6,17.855,90,0.8021,0.0388,0.8366,13.9393,0.266,14.3204,12.2527,0.4272,12.8335,28.8355,0.3986,29.3043,33.9651,2.1729,37.5679,0.0,0.0,0.0,8.284,0.3786,8.7661,13.7006,0.6308,14.4302,33.1327,1.1084,35.0076,1.3384,0.0362,1.3952,2.1695,0.0632,2.2558,3873.8443,150.6758,4058.2604,2514.987,87.1118,2619.0813,1358.8573,109.2482,1538.9772,0.3505,0.0181,0.3792,110.4,14.9599,129,76.0289,4.6926,83.2981,300.973,21.608,327.73,9.2,2.2804,12,8.4,2.0736,12,0.8,1.3038,3,1.6253,0.7854,2.5769,0.9267,0.446,1.2421
