policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_v3new),355,28.098,390,269.4,10.5972,285,85.6,29.1513,115,0.7624,0.0647,0.8559,16.9828,0.6229,18.0028,16.5578,1.2599,18.4405,31.2061,0.4632,31.801,35.0771,0.8742,36.3007,0.2304,0.4273,0.9835,9.4303,0.1026,9.5645,13.9139,0.7063,14.5224,34.5223,3.8832,38.5082,1.387,0.0374,1.4412,2.2463,0.0876,2.3319,4014.1992,226.3788,4343.8167,2529.728,88.2683,2625.2223,1484.4713,146.011,1718.5944,0.3692,0.0158,0.3956,0,0.0,0,2.8202,0.293,3.0705,4.9977,0.9226,6.4914,23.4,3.3615,27,21.6,2.881,25,1.8,0.8367,3,1.9476,0.4447,2.5527,1.1835,0.7444,2.0985
rl+sa (rl_v3new),355,28.098,390,273.8,15.1394,290,81.2,29.9366,117,0.7747,0.0697,0.8709,15.9206,0.6041,16.6635,14.4859,1.2826,16.1481,30.5928,0.7949,31.8203,35.6528,1.3798,37.823,0.0,0.0,0.0,9.2479,0.4108,9.7886,13.2787,0.6622,13.9798,31.5559,3.5317,34.3062,1.3297,0.0375,1.384,2.1439,0.0926,2.2414,3952.2793,211.6985,4300.8492,2516.7448,116.4728,2665.7864,1435.5344,150.9679,1697.4335,0.3627,0.0231,0.3947,88.6,14.639,108,65.8917,9.7189,77.3849,233.0732,29.4316,268.6755,18,5.4314,26,17,5.4314,25,1,0.0,1,2.0366,0.2977,2.4788,1.38,1.1209,3.0633
rl+ts (rl_v3new),355,28.098,390,281.4,15.3721,299,73.6,29.9216,107,0.7962,0.0714,0.8979,13.5453,1.2038,14.9819,10.8812,1.325,13.0635,29.7791,1.4815,31.0918,35.8494,2.8515,39.7748,0.0,0.0,0.0,9.2734,0.782,10.2406,13.6257,0.7953,14.0994,32.3901,3.3801,35.2142,1.3473,0.0376,1.3867,2.1649,0.098,2.2141,3635.2554,159.9006,3808.5586,2562.8305,94.1508,2690.1521,1072.4249,93.742,1215.9226,0.2947,0.0159,0.3206,160.8,25.6457,200,32.14,4.3192,36.0457,122.9625,18.9779,145.7702,15.4,7.1624,25,14.2,6.4187,23,1.2,0.8367,2,1.9314,0.5712,2.8628,2.1901,1.2322,3.377
rl+ga (rl_v3new),355,28.098,390,277,14.1421,294,78,29.5381,113,0.7838,0.0687,0.8829,13.2467,1.1736,14.6441,10.5963,1.375,12.5633,29.6554,0.8732,30.778,35.083,2.1226,37.3321,0.0,0.0,0.0,9.1975,0.5743,9.817,13.4178,0.7397,13.8649,32.419,3.6599,34.6697,1.3449,0.0454,1.394,2.1495,0.1001,2.2436,3614.6494,170.0868,3813.5282,2536.1473,75.0945,2629.6705,1078.5021,118.9572,1250.1066,0.2978,0.0203,0.3278,162.6,19.4885,192,142.4995,24.6545,173.1389,592.1766,93.8153,707.8098,11.2,4.4385,16,10.6,4.1593,16,0.6,0.8944,2,1.8524,0.7669,2.4686,1.9531,1.7793,3.2112
rl+alns (rl_v3new),355,28.098,390,282.8,14.6185,301,72.2,30.6953,110,0.8004,0.0728,0.9039,14.3567,0.8579,15.4211,12.4851,0.8856,13.6387,29.6522,0.9753,31.3056,35.1081,1.2566,36.7198,0.242,0.333,0.6522,8.5601,0.5648,9.4752,13.3218,0.8262,14.0676,31.795,4.4886,36.7112,1.33,0.0407,1.3598,2.0997,0.1556,2.254,3937.9816,182.6021,4202.3039,2547.03,127.49,2695.0735,1390.9516,103.087,1567.6176,0.3531,0.0176,0.373,119,20.2608,153,77.7528,3.8875,82.7731,301.521,27.8064,328.3212,13.4,7.0214,25,11.8,6.4576,22,1.6,1.8166,4,1.867,0.3922,2.3198,0.6788,0.1035,0.7463
