policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl+ts (rl_v4),352,32.909,390,292.3333,13.8684,304,59.6667,24.7049,86,0.8334,0.0547,0.8889,13.9341,1.5606,15.6646,10.1307,1.2313,11.5099,37.6639,2.7918,40.7635,46.2737,1.5803,47.2799,0.0,0.0,0.0,11.1099,0.9275,12.1528,12.1276,0.5925,12.7912,26.9672,1.4054,28.2531,1.2802,0.0277,1.3017,1.9442,0.1361,2.0272,3645.1734,134.4704,3735.4083,2481.8023,65.4523,2526.7144,1163.3711,71.7461,1223.4199,0.319,0.0085,0.3275,213,12.1244,224,48.9373,12.2167,62.2526,185.8964,28.9801,217.6377,2.3333,1.5275,4,2,2.0,4,0.3333,0.5774,1,1.1468,0.7217,1.6571,0.6949,0.0,0.6949
rl+ts (rl_v5),352,32.909,390,305,9.6437,312,47,27.8747,78,0.8703,0.0649,0.9279,17.0521,2.342,19.3997,12.6104,2.2421,15.1842,41.8187,2.2852,43.459,50.4227,3.0074,53.4108,0.0,0.0,0.0,13.1092,1.0944,13.9938,12.971,0.921,13.7015,28.8673,3.7651,32.9377,1.31,0.0521,1.3573,2.0016,0.1234,2.1094,3752.8398,98.5822,3811.5821,2604.3152,37.9411,2648.1254,1148.5246,86.9923,1229.3382,0.3058,0.0161,0.3225,216,15.1327,233,75.132,12.8868,88.9267,254.4664,28.8918,285.7886,8.6667,2.3094,10,8,1.7321,9,0.6667,0.5774,1,2.7529,1.8153,4.8221,0.5623,0.1876,0.6949
rl+ga (rl_base),352,32.909,390,302.3333,9.2916,310,49.6667,31.8957,85,0.8633,0.0754,0.9309,16.8366,2.3434,19.2922,12.2283,1.9288,14.3038,41.9284,2.7621,44.0136,50.1553,1.3372,51.5616,0.0,0.0,0.0,12.955,1.2015,13.8732,12.9646,0.515,13.2869,29.132,1.6505,30.492,1.3066,0.0257,1.3288,2.058,0.1409,2.203,3755.772,145.7551,3868.3632,2638.4038,81.9381,2728.9729,1117.3682,119.6565,1251.5424,0.2971,0.0229,0.3235,218.3333,11.1505,231,268.5104,46.562,304.0573,890.391,46.7592,932.3153,8,3.6056,12,6.3333,3.2146,10,1.6667,0.5774,2,2.0605,0.7087,2.8265,0.4985,0.2297,0.717
rl+ga (rl_v3),352,32.909,390,252.3333,9.0738,259,99.6667,30.9246,134,0.7203,0.0609,0.7778,9.104,0.5894,9.7259,8.0273,0.536,8.6439,20.3266,1.8419,22.0871,33.1513,3.9551,37.4262,0.0,0.0,0.0,5.8055,0.342,6.1787,10.5942,0.2251,10.7834,19.7623,0.4027,20.1539,1.1827,0.0134,1.1981,1.5777,0.0467,1.6297,3598.3585,140.4374,3721.3872,2236.0544,71.8933,2287.0244,1362.3041,71.4249,1434.3629,0.3785,0.006,0.3854,174,5.5678,180,19.5428,5.6595,25.9987,109.6979,76.013,161.5299,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.6949,0.0,0.6949
rl+ga (rl_v4),352,32.909,390,295.3333,14.8436,308,56.6667,24.1109,82,0.8418,0.0542,0.8979,14.8739,2.2184,17.2462,10.7742,1.7543,12.7939,39.5039,4.872,42.5819,48.0476,3.3326,50.6005,0.0,0.0,0.0,11.7458,1.6138,12.9426,12.1311,0.5072,12.4353,25.7704,2.8296,28.6563,1.2814,0.0201,1.3011,1.9297,0.0653,1.9817,3727.6414,155.1362,3846.0027,2507.1738,102.4931,2581.5997,1220.4676,68.9264,1296.3523,0.3274,0.0096,0.3371,217,4.3589,222,196.1358,69.4805,271.6317,771.0959,126.2023,901.9037,4,3.4641,6,3.3333,2.8868,5,0.6667,0.5774,1,2.1277,0.603,2.554,0.9783,0.4007,1.2616
rl+ga (rl_v5),352,32.909,390,301.6667,12.8582,311,50.3333,26.7644,79,0.8604,0.0623,0.9219,16.598,2.2407,18.9427,12.1676,1.5314,13.9358,42.2293,2.1106,44.0331,49.5175,1.7244,50.9062,0.0,0.0,0.0,12.8175,1.3303,13.9484,12.9574,0.7739,13.4416,29.9905,2.6703,32.2251,1.3051,0.041,1.3452,2.0551,0.1374,2.1376,3753.9756,119.6761,3875.9078,2608.5938,35.8094,2649.2932,1145.3817,119.8989,1281.3402,0.3047,0.0225,0.3306,219.6667,11.5902,233,260.2377,67.2563,327.7431,896.5706,95.5607,955.1214,7.3333,5.1316,13,6,4.3589,11,1.3333,1.1547,2,2.0643,1.1387,3.0912,1.2143,0.9189,1.8641
rl+alns (rl_base),352,32.909,390,308.3333,11.0151,319,43.6667,24.4199,71,0.8793,0.0561,0.9279,17.6182,3.1294,21.0385,13.4782,1.9761,15.7495,41.4561,4.4209,45.0409,49.6277,1.5581,51.4264,0.156,0.2703,0.4681,12.5931,2.0742,14.6656,12.973,0.9018,13.7932,30.6096,2.6843,32.9925,1.3117,0.0573,1.3682,2.0037,0.1112,2.119,4020.0298,137.0269,4169.9856,2680.3777,74.8462,2766.7395,1339.6522,170.8686,1535.6489,0.3326,0.032,0.3683,152.6667,9.815,164,161.971,45.1628,209.7287,490.2856,82.2206,579.5326,9.3333,8.0829,18,8.3333,7.0946,16,1,1.0,2,1.8172,0.5222,2.2503,3.0294,0.4491,3.3469
rl+alns (rl_v3),352,32.909,390,234.3333,17.673,246,117.6667,27.0247,144,0.6677,0.054,0.7297,10.2221,0.2187,10.4254,9.5263,0.2355,9.7472,20.675,1.5761,22.4936,34.6916,10.3737,46.3982,0.3242,0.3262,0.6524,5.6505,0.6505,6.3922,10.204,0.3035,10.545,19.4642,0.7147,20.225,1.1587,0.002,1.161,1.5033,0.0528,1.5356,3967.7034,122.9889,4052.6637,2103.2428,93.6654,2197.7571,1864.4606,75.2284,1951.1425,0.47,0.0144,0.4814,50.3333,21.5019,74,11.4211,4.3728,16.4459,57.6373,30.4864,92.6911,0.6667,0.5774,1,0.3333,0.5774,1,0.3333,0.5774,1,1.3982,0.0,1.3982,0.2455,0.0,0.2455
rl+alns (rl_v4),352,32.909,390,292,15.6205,310,60,17.3494,80,0.8315,0.0319,0.8529,15.0241,2.2243,17.2336,11.7915,1.5329,13.3895,38.9479,4.9965,42.1043,47.6037,0.5214,48.0021,0.0,0.0,0.0,10.9274,1.7046,12.4416,11.7548,0.9847,12.6684,24.9798,2.5963,27.3086,1.2579,0.0547,1.2945,1.9252,0.1704,2.0789,4012.8235,212.8238,4254.1974,2482.4832,71.9296,2564.2594,1530.3403,255.7883,1825.1864,0.3799,0.0432,0.429,139.6667,13.0512,152,108.4613,52.3437,158.7847,400.8129,75.241,471.522,3.3333,1.1547,4,3,1.0,4,0.3333,0.5774,1,1.7526,0.7138,2.5729,3.3469,0.0,3.3469
rl+alns (rl_v5),352,32.909,390,309.6667,10.0664,319,42.3333,25.5408,71,0.8833,0.0594,0.9339,17.8872,2.9081,21.0162,14.0161,2.0763,16.3842,42.9319,2.0099,44.1951,48.392,0.9848,49.4944,0.454,0.5411,1.0528,12.3448,1.6233,13.7833,13.2536,0.9355,13.8136,30.4103,2.9489,32.9454,1.3229,0.0532,1.3781,2.0766,0.1331,2.1707,4083.6798,156.861,4243.7884,2679.212,48.884,2731.779,1404.4678,181.955,1608.6696,0.3432,0.0315,0.3791,165,12.1244,176,167.8982,39.3611,207.517,476.0886,36.5588,518.2992,7,5.0,12,6.3333,5.1316,12,0.6667,1.1547,2,1.9369,0.9607,2.9687,0.3821,0.0,0.3821
