policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,306,15.8745,324,46,17.5784,66,0.8715,0.0364,0.9009,11.1418,2.5543,13.6929,8.716,1.8137,10.7582,26.1411,5.165,29.9095,31.5763,1.1813,32.9307,0.0,0.0,0.0,8.3531,1.8768,10.0482,8.3478,0.3409,8.5521,16.3699,2.1676,18.5798,1.2574,0.033,1.2915,1.8046,0.1577,1.9482,3322.8566,122.6629,3430.892,2005.8861,75.4517,2091.6801,1316.9705,119.6328,1454.7686,0.396,0.0252,0.424,0,0.0,0,0.2535,0.1068,0.3641,0.6484,0.2428,0.8379,6.6667,6.3509,14,6.6667,6.3509,14,0,0.0,0,0.8208,0.4236,1.3099,,,
greedy+sa,352,32.909,390,307.6667,17.673,328,44.3333,15.3731,62,0.8759,0.0306,0.8979,10.3412,2.7943,13.0237,8.1634,1.5995,9.8457,25.1055,5.6752,29.4015,31.3315,1.1164,32.6201,0.0,0.0,0.0,7.7373,1.9599,9.3671,8.2898,0.3422,8.586,15.7987,1.5923,17.397,1.2534,0.0369,1.2947,1.7338,0.1443,1.8914,3249.2259,118.4376,3353.4403,2002.4823,90.3397,2105.1873,1246.7436,60.8964,1306.8713,0.3837,0.0139,0.3992,29.3333,14.5717,43,56.6129,35.8087,86.8907,240.1279,137.6521,331.6876,5,6.9282,13,4.6667,6.3509,12,0.3333,0.5774,1,0.8491,0.2821,1.1729,0.5697,0.0,0.5697
greedy+ts,352,32.909,390,312.3333,24.8462,341,39.6667,8.1445,49,0.888,0.0122,0.8979,7.9624,2.6633,10.9911,6.4252,1.6126,8.2603,19.9433,7.4457,28.4359,26.1553,5.7718,31.2145,0.0,0.0,0.0,5.8818,2.3086,8.4946,8.3615,0.2918,8.5853,15.2852,1.1404,15.9979,1.2708,0.0318,1.3014,1.7629,0.118,1.8418,2977.0827,179.234,3147.3923,1961.669,134.5999,2112.8881,1015.4136,72.6512,1076.6134,0.3412,0.0163,0.3596,105.6667,26.0832,128,23.9809,18.4798,44.4645,98.4835,82.6472,188.2159,2.6667,4.6188,8,2.6667,4.6188,8,0,0.0,0,0.5794,0.0,0.5794,,,
greedy+ga,352,32.909,390,311.3333,23.1157,338,40.6667,9.8658,52,0.8855,0.0166,0.8979,8.1517,2.7272,11.2304,6.5455,1.2516,7.9278,19.9132,7.5908,28.5307,26.7931,6.6494,33.128,0.0,0.0,0.0,5.9701,2.5277,8.8395,8.382,0.3462,8.6831,15.476,0.9941,16.0792,1.2694,0.042,1.3158,1.7967,0.1374,1.9481,2996.5943,155.3556,3156.3391,1959.4502,112.6323,2088.585,1037.1442,63.1357,1079.1401,0.3461,0.0131,0.3612,106,22.6053,125,95.468,107.0011,216.8195,418.2352,465.13,930.265,3.3333,5.7735,10,3.3333,5.7735,10,0,0.0,0,1.524,0.0,1.524,,,
greedy+alns,352,32.909,390,314.3333,27.4651,346,37.6667,5.6862,44,0.8933,0.007,0.9009,7.9032,1.7199,9.6867,6.214,0.6885,6.9506,21.3852,5.8713,25.8668,28.3956,6.4088,33.2139,0.0,0.0,0.0,6.0816,1.6526,7.5784,8.3072,0.3495,8.5433,15.3016,0.8966,15.9119,1.26,0.0386,1.2973,1.7456,0.1663,1.8809,3162.6439,147.2209,3264.8942,2006.1439,101.5487,2122.7424,1156.5001,132.0701,1306.292,0.3652,0.0306,0.4001,78.3333,38.0832,112,58.1615,44.5759,104.4872,239.2019,166.5437,397.2827,1,1.0,2,1,1.0,2,0,0.0,0,1.762,1.2888,2.6734,,,
rl (rl_v4),352,32.909,390,304,14.4222,320,48,19.4679,70,0.8661,0.0413,0.9009,12.9764,2.175,14.9205,10.047,1.7809,11.7319,29.1391,1.2001,30.431,33.444,1.6624,34.9394,0.1093,0.1894,0.328,8.981,0.9744,9.9024,8.525,0.3111,8.7297,17.0165,1.0861,18.1621,1.2831,0.0344,1.3144,1.8818,0.1256,1.9689,3511.5507,100.6409,3611.4682,1989.557,55.7343,2053.2428,1521.9937,107.1585,1645.7288,0.4332,0.0205,0.4557,0,0.0,0,2.6004,0.1825,2.8057,3.5359,0.4951,3.856,11.6667,9.0738,22,11.6667,9.0738,22,0,0.0,0,1.1255,0.4301,1.447,,,
rl+sa (rl_v4),352,32.909,390,306.3333,18.0093,327,45.6667,15.1438,63,0.8721,0.0297,0.8949,11.8751,2.5882,13.7584,9.9151,2.4118,12.0924,26.8722,3.6441,29.5931,32.3718,0.8012,33.1769,0.0,0.0,0.0,7.9946,1.4402,9.2734,8.3821,0.3665,8.6092,16.3409,2.0883,17.59,1.2622,0.0264,1.2847,1.8337,0.2338,2.0366,3406.2693,88.7652,3477.6021,1988.7464,51.5302,2036.3322,1417.5229,56.9961,1481.7122,0.4161,0.0095,0.4261,100.3333,19.8578,122,73.5907,37.5695,103.0439,253.8486,94.6576,310.4284,5.6667,4.0415,10,5.3333,4.1633,10,0.3333,0.5774,1,1.427,0.3144,1.6914,1.3073,0.0,1.3073
rl+ts (rl_v4),352,32.909,390,313,26.0,343,39,7.0,47,0.8898,0.0094,0.8979,8.2426,2.6512,11.2122,6.6049,1.4225,8.2293,20.1186,7.6556,28.6444,27.5906,6.1402,32.5083,0.0,0.0,0.0,6.0901,2.2503,8.577,8.3949,0.2964,8.5827,15.7989,0.9145,16.4927,1.2675,0.0335,1.3037,1.7837,0.105,1.8784,3006.9978,164.0828,3161.9631,1969.6298,117.6277,2103.4692,1037.368,76.5852,1101.1729,0.345,0.0166,0.3642,223.6667,18.4752,245,29.5633,19.0162,50.6441,105.5,65.8701,178.3526,1.6667,2.8868,5,1.6667,2.8868,5,0,0.0,0,1.31,0.0,1.31,,,
rl+ga (rl_v4),352,32.909,390,310,21.6564,335,42,11.2694,55,0.8819,0.0199,0.8949,8.1183,2.6009,10.9944,6.358,1.2623,7.769,20.6945,7.6817,29.117,27.8481,6.3476,32.6031,0.0,0.0,0.0,6.1621,2.4464,8.8269,8.3708,0.3171,8.5791,15.6156,1.4973,16.8781,1.2696,0.0241,1.292,1.7694,0.0961,1.8647,2992.1751,171.5781,3151.2492,1962.3886,102.0334,2079.429,1029.7864,97.6147,1099.3427,0.3438,0.0192,0.3646,217.3333,15.5027,235,107.6894,94.2481,211.3442,475.8744,381.8304,900.3878,3.3333,4.9329,9,3.3333,4.9329,9,0,0.0,0,0.607,0.4325,0.9128,,,
rl+alns (rl_v4),352,32.909,390,313.3333,26.5769,344,38.6667,6.4291,46,0.8906,0.008,0.8979,9.0779,1.9524,11.3114,7.6717,1.0407,8.8662,21.3009,6.3397,28.4498,27.2719,4.2542,31.1733,0.0,0.0,0.0,5.82,1.8081,7.8495,8.274,0.4273,8.6392,15.4318,1.8069,16.8859,1.2539,0.0451,1.3034,1.7649,0.1217,1.892,3387.5623,145.6722,3479.3042,1997.3197,123.1486,2139.382,1390.2425,136.8811,1547.6018,0.4102,0.0318,0.4448,125.6667,34.5302,161,68.5225,48.5427,121.5722,264.8648,149.038,414.2994,2,3.4641,6,2,3.4641,6,0,0.0,0,0.7394,0.0,0.7394,,,
