policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,315.6667,29.7714,350,36.3333,3.5119,40,0.8967,0.0045,0.9009,7.1229,2.8087,10.2068,5.4607,1.5351,7.1331,18.2453,8.598,27.7818,27.3013,7.8553,35.1191,0.0,0.0,0.0,5.5615,2.6838,8.5313,7.9411,0.2429,8.0936,14.163,1.0925,14.8401,1.2074,0.0229,1.2332,1.5935,0.1194,1.7313,3436.2284,254.286,3729.4513,2082.4586,152.3639,2258.0072,1353.7698,101.9592,1471.4441,0.3939,0.0008,0.3945,0,0.0,0,0.1835,0.0964,0.2927,0.4615,0.364,0.8716,1.6667,2.8868,5,1.6667,2.8868,5,0,0.0,0,2.1355,0.0,2.1355,,,
greedy+sa,352,32.909,390,317,32.9242,355,35,1.0,36,0.9,0.0094,0.9103,6.5051,2.2566,8.9914,4.9682,1.2023,6.2141,17.7955,8.0436,26.7892,25.3065,8.135,31.0913,0.0,0.0,0.0,5.2332,2.47,7.9972,7.9387,0.2067,8.0802,14.2733,1.2734,15.6635,1.2097,0.018,1.2298,1.5738,0.0905,1.6773,3350.6508,238.1655,3625.1966,2087.085,149.2721,2259.3733,1263.5658,90.4223,1365.8232,0.3771,0.0041,0.3814,15.3333,7.5056,23,22.6257,26.3955,52.9704,118.3144,179.4883,325.4443,1,1.7321,3,1,1.7321,3,0,0.0,0,0.6125,0.0,0.6125,,,
greedy+ts,352,32.909,390,318,34.6554,358,34,2.0,36,0.9026,0.0136,0.9179,5.1968,1.0428,6.3878,4.4004,0.6667,5.1399,12.4561,3.2528,16.1927,20.2485,5.232,25.1561,0.0,0.0,0.0,3.7647,1.1394,5.0802,8.0349,0.1082,8.1375,14.7738,1.0671,15.8748,1.2201,0.0219,1.2404,1.594,0.0713,1.6763,3099.7251,238.5129,3372.89,2062.4144,179.9835,2269.8264,1037.3107,60.0395,1103.0636,0.335,0.0075,0.3419,86.6667,22.0303,112,8.8474,7.2021,17.1361,36.8894,40.8287,83.875,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+ga,352,32.909,390,318,34.6554,358,34,2.0,36,0.9026,0.0136,0.9179,5.2609,1.3423,6.8094,4.373,0.7797,5.2732,12.4972,3.9189,17.0222,21.8177,7.9922,30.2514,0.0,0.0,0.0,3.8236,1.3569,5.3881,8.1441,0.1877,8.2989,14.7032,1.0437,15.8921,1.2357,0.0206,1.2595,1.6275,0.1128,1.7575,3106.2305,274.5266,3419.5579,2074.6636,194.0956,2298.5651,1031.567,84.1957,1120.9928,0.3323,0.0075,0.341,91,32.2335,128,30.3564,38.9867,75.3571,175.019,279.4553,497.683,0.3333,0.5774,1,0.3333,0.5774,1,0,0.0,0,0.2514,0.0,0.2514,,,
greedy+alns,352,32.909,390,318,34.6554,358,34,2.0,36,0.9026,0.0136,0.9179,5.3908,0.947,6.4034,4.5379,0.7408,5.3828,13.2432,3.6653,17.0058,23.5619,8.4472,30.7146,0.0,0.0,0.0,3.9287,1.0457,4.9779,7.9179,0.1495,8.0368,14.1148,0.7497,14.9546,1.2081,0.02,1.2311,1.573,0.0972,1.6787,3303.4529,171.1134,3496.8068,2088.3436,153.1687,2265.0006,1215.1092,45.015,1249.3901,0.3682,0.0166,0.3854,39,36.1663,77,26.3374,28.8084,58.6406,152.0459,157.9207,329.0099,0.3333,0.5774,1,0.3333,0.5774,1,0,0.0,0,0.7146,0.0,0.7146,,,
