policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_base),352,32.909,390,270.3333,10.2632,279,81.6667,32.1921,117,0.7719,0.0691,0.8378,16.1193,0.1971,16.302,14.7181,0.1638,14.8389,30.9604,0.5186,31.5474,35.8989,1.4272,37.5417,0.0,0.0,0.0,9.5378,0.1213,9.6748,13.5021,0.6294,14.1192,32.1916,4.0271,36.5432,1.3662,0.0208,1.3891,2.1697,0.0589,2.2325,4118.1763,209.8836,4355.0123,2543.2662,84.2422,2598.7407,1574.9101,172.138,1770.283,0.3818,0.0245,0.4065,0,0.0,0,2.784,0.1861,2.9982,3.4109,0.5386,3.8898,23.3333,1.5275,25,21,2.6458,24,2.3333,1.5275,4,1.9981,0.1944,2.2196,1.9877,0.5878,2.6663
rl (rl_v3),352,32.909,390,232.6667,11.8462,240,119.3333,29.3655,151,0.6637,0.0542,0.7207,11.293,0.5335,11.8907,9.6029,0.7124,10.142,26.5138,0.8173,27.3234,30.5632,0.9038,31.2335,0.0,0.0,0.0,6.9374,0.4816,7.4227,10.6769,0.2175,10.8269,21.7207,0.408,22.1065,1.19,0.0156,1.2061,1.6581,0.0752,1.7438,4006.7036,133.2253,4100.8309,2127.2389,83.3943,2177.2259,1879.4647,52.5024,1927.3071,0.4691,0.0044,0.4731,0,0.0,0,2.7683,0.5283,3.3664,3.3804,0.2365,3.5989,1.3333,1.1547,2,1.3333,1.1547,2,0,0.0,0,0.6906,0.3006,0.9032,,,
rl (rl_v3ant),352,32.909,390,277,7.5498,284,75,32.909,112,0.7912,0.0715,0.8529,16.8407,1.0962,17.9806,16.354,2.1278,18.2293,30.5618,0.5328,31.1629,36.1794,2.7414,39.1518,0.0,0.0,0.0,9.5096,0.0841,9.6066,13.8859,1.0358,14.5074,32.8171,4.1189,35.9622,1.3841,0.0527,1.4271,2.2218,0.0772,2.2797,4172.7169,140.486,4308.9036,2643.6405,61.0733,2714.1597,1529.0764,150.7611,1700.9998,0.366,0.0249,0.3948,0,0.0,0,4.2198,0.2761,4.4854,6.2734,0.4611,6.7719,21.3333,5.8595,28,20.6667,5.5076,27,0.6667,0.5774,1,1.7358,0.5005,2.1785,0.7917,0.1369,0.8885
rl (rl_v4),352,32.909,390,259.3333,11.5902,267,92.6667,29.9054,125,0.74,0.0612,0.8018,14.0115,0.9736,14.8905,11.7172,0.8776,12.5681,29.7782,1.4121,30.7683,34.7741,1.3881,36.3486,0.0,0.0,0.0,8.7464,0.5479,9.1558,11.7401,0.4419,12.1156,27.1063,1.3237,28.2141,1.2788,0.0442,1.3298,2.0582,0.0972,2.1548,4111.7626,187.6776,4300.4998,2352.5792,117.7768,2432.3445,1759.1835,116.3877,1892.412,0.4278,0.0172,0.44,0,0.0,0,2.8836,0.181,3.0603,4.0573,0.2106,4.2904,14.3333,5.5076,18,13,5.2915,17,1.3333,1.5275,3,2.2894,0.671,3.0583,2.1842,1.6443,3.3469
rl (rl_v5),352,32.909,390,271,7.9373,277,81,28.3549,113,0.7733,0.0575,0.8228,16.1642,1.1506,17.4534,14.8035,2.1278,16.8936,30.6233,0.4904,31.1877,35.6983,1.7559,37.556,0.0,0.0,0.0,9.3824,0.2064,9.6054,13.4259,0.9079,14.0345,30.8522,3.0062,33.8311,1.3539,0.037,1.3825,2.1583,0.0775,2.2174,4140.9246,163.3499,4306.6831,2535.8123,41.5218,2583.6921,1605.1123,171.6668,1796.9793,0.387,0.0265,0.4173,0,0.0,0,3.1618,0.5254,3.7665,4.3008,0.4106,4.6952,20.3333,6.6583,28,18.6667,5.5076,25,1.6667,1.1547,3,1.9023,0.6954,2.6495,1.3889,0.6158,1.8701
rl+sa (rl_base),352,32.909,390,304.3333,18.037,323,47.6667,18.5562,67,0.8667,0.0411,0.9099,13.8956,1.0454,14.8743,12.4293,1.4927,13.9536,28.5257,0.4062,28.8042,33.5209,1.8937,35.7076,0.0,0.0,0.0,8.4306,0.2375,8.6329,12.4371,1.1238,13.307,28.7831,5.9883,32.9551,1.2579,0.056,1.3077,1.9829,0.2014,2.1204,4664.2008,134.7632,4786.1231,2844.5317,117.078,2966.983,1819.6691,202.2688,2052.4308,0.3897,0.0341,0.4288,107.3333,12.4231,115,55.4566,18.7716,75.8493,201.3973,64.5389,271.2121,8,2.6458,11,7.3333,2.3094,10,0.6667,0.5774,1,1.4609,0.0411,1.49,3.5478,4.0345,6.4006
rl+sa (rl_v3),352,32.909,390,250.3333,10.7858,258,101.6667,27.6104,132,0.714,0.0521,0.7658,9.2933,0.4078,9.7151,8.3747,0.1802,8.5773,20.9359,1.2322,22.334,29.6333,2.8926,32.4123,0.0,0.0,0.0,5.64,0.405,6.0875,10.3117,0.0754,10.3672,19.0134,0.8997,19.7808,1.1604,0.0185,1.1714,1.5349,0.0794,1.6135,4196.7423,84.3653,4251.6458,2296.3238,65.4406,2350.8616,1900.4185,32.5209,1937.2953,0.4529,0.0065,0.4576,86,2.0,88,8.9116,1.6969,10.847,30.1077,31.3901,66.3534,0.3333,0.5774,1,0.3333,0.5774,1,0,0.0,0,2.4123,0.0,2.4123,,,
rl+sa (rl_v3ant),352,32.909,390,308.3333,17.5024,326,43.6667,19.5533,64,0.8782,0.0447,0.9249,14.2358,1.1133,15.4071,12.5267,1.3957,14.1068,29.2953,1.1791,30.5715,33.6186,2.3373,36.2724,0.0,0.0,0.0,8.5156,0.7392,9.2232,12.6982,1.1195,13.5802,28.7118,3.9562,31.3946,1.2723,0.0576,1.3141,1.9687,0.1606,2.0748,4687.4788,150.5995,4844.4522,2905.9319,97.4916,3018.4558,1781.5469,188.0532,1997.6796,0.3796,0.0298,0.4124,109.6667,19.6299,121,64.0999,21.0388,86.1831,233.1796,56.0039,291.1174,11.3333,7.5056,20,10.6667,7.2342,19,0.6667,0.5774,1,1.4257,0.4283,1.9177,1.0972,0.5688,1.4994
rl+sa (rl_v4),352,32.909,390,287.6667,17.4738,307,64.3333,16.9214,83,0.8189,0.0313,0.8498,12.6487,0.8582,13.579,10.8256,0.8511,11.563,28.319,0.5831,28.9016,33.7762,2.6214,35.9217,0.0,0.0,0.0,8.0118,0.6373,8.7476,11.1801,0.5072,11.595,22.6674,1.5099,24.1775,1.2077,0.0344,1.2423,1.7876,0.1612,1.8927,4551.8629,142.9354,4676.4647,2627.4977,140.1432,2785.6536,1924.3652,155.8445,2098.3774,0.4226,0.0285,0.4487,100.3333,10.2144,112,34.2241,14.8901,51.2093,146.0475,39.4015,191.5273,7,3.6056,10,6.6667,4.1633,10,0.3333,0.5774,1,1.6851,0.8987,2.5778,0.6949,0.0,0.6949
rl+sa (rl_v5),352,32.909,390,302,13.0,315,50,22.6053,75,0.8608,0.05,0.9069,13.8103,0.9904,14.8258,12.6289,1.5942,14.4445,28.5752,1.1008,29.6788,35.6119,3.4812,38.6398,0.0,0.0,0.0,8.2613,0.5553,8.694,12.5069,1.1331,13.3766,27.7669,6.2927,33.3672,1.27,0.0619,1.3354,2.0149,0.2073,2.1542,4680.6982,190.4977,4824.8717,2817.5656,111.4486,2942.8805,1863.1326,210.5885,2095.3193,0.3974,0.0319,0.4343,115.3333,9.7125,126,52.35,15.1291,66.6215,196.0426,59.1747,252.1649,8,7.0,15,7,6.0,13,1,1.0,2,1.9179,0.1038,2.0146,0.518,0.2502,0.6949
