policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl+ts (rl_base),352,32.909,390,314.6667,17.9536,335,37.3333,15.695,55,0.8959,0.0337,0.9249,10.7325,1.2151,11.8049,8.1573,0.677,8.7241,27.8714,0.9747,28.9927,35.4788,0.6511,36.1925,0.0,0.0,0.0,8.1937,0.598,8.8783,12.31,1.0143,13.0542,26.3613,3.8471,29.2357,1.2515,0.0495,1.284,1.8923,0.2035,2.0419,4143.1238,107.333,4242.6011,2837.633,119.9486,2966.1309,1305.4908,111.6504,1428.786,0.315,0.0248,0.3437,228.3333,16.2583,241,24.3023,8.8544,33.4445,86.6287,39.1723,128.8976,8.6667,3.7859,13,8.3333,4.1633,13,0.3333,0.5774,1,2.3482,0.1789,2.4958,0.6949,0.0,0.6949
rl+ts (rl_v3),352,32.909,390,277.3333,13.4288,287,74.6667,26.6896,103,0.7908,0.0571,0.8498,7.5247,0.6006,8.2165,6.4092,0.5674,7.0485,18.1592,1.8164,19.6543,28.3634,2.7592,31.0588,0.0,0.0,0.0,5.3188,0.448,5.6084,10.9423,0.2668,11.1784,20.9537,0.5196,21.4668,1.1753,0.007,1.1831,1.5414,0.0446,1.586,3869.7073,214.793,4030.3957,2537.2126,141.3884,2662.2735,1332.4947,79.0036,1387.4105,0.3443,0.006,0.351,216,19.0,232,8.3813,0.8617,9.3691,19.2076,6.1393,26.2667,0.6667,0.5774,1,0.3333,0.5774,1,0.3333,0.5774,1,1.0588,0.0,1.0588,0.6949,0.0,0.6949
rl+ts (rl_v3ant),352,32.909,390,318.6667,20.4287,342,33.3333,13.0512,48,0.9069,0.0275,0.9309,11.1204,1.7921,12.8522,8.6426,1.4054,10.0898,27.2849,2.7314,30.0347,34.1943,1.8184,35.7892,0.0,0.0,0.0,8.3312,0.9802,9.3153,12.7108,1.2224,13.6151,28.2806,5.069,31.8407,1.2715,0.062,1.3102,1.9802,0.2475,2.1282,4187.9976,183.4151,4364.5034,2895.0961,156.2724,3070.819,1292.9015,136.8962,1429.4046,0.3086,0.0277,0.3402,235,11.7898,248,28.6528,10.791,39.3743,98.7269,33.1553,126.647,9.6667,8.0208,18,9,7.5498,17,0.6667,0.5774,1,1.6711,0.0347,1.7058,0.4032,0.4127,0.6949
rl+ts (rl_v4),352,32.909,390,300.6667,19.3993,323,51.3333,13.6504,67,0.8556,0.0242,0.8739,9.321,1.4721,10.8289,7.1565,0.9313,8.0773,23.7937,3.6254,27.3434,31.3586,1.5026,33.0798,0.0,0.0,0.0,7.0923,1.1582,8.3301,11.6059,0.517,11.9799,23.8036,1.6384,24.9214,1.2184,0.0199,1.2403,1.7321,0.0851,1.8285,4048.7509,183.7861,4246.8961,2696.5381,142.3328,2860.3113,1352.2128,83.2469,1412.7698,0.334,0.0155,0.3518,226,16.6433,245,15.717,6.4639,22.3899,50.6746,27.4395,78.5596,4.6667,4.6188,10,4.3333,4.9329,10,0.3333,0.5774,1,0.7744,0.5435,1.3715,0.6949,0.0,0.6949
rl+ts (rl_v5),352,32.909,390,313.6667,16.5025,332,38.3333,17.6163,58,0.8934,0.0389,0.9279,10.7146,1.4128,12.1691,8.4712,1.2554,9.8594,27.5133,0.8727,28.1912,35.0332,2.166,37.1045,0.0,0.0,0.0,8.144,0.4882,8.5709,12.4523,0.9613,13.1032,27.8791,4.0461,32.0704,1.255,0.0478,1.2875,1.965,0.1517,2.0671,4153.3091,162.9359,4305.3924,2845.7057,145.0955,3009.6916,1307.6034,126.0797,1439.2123,0.3147,0.0261,0.3449,235.3333,4.0415,239,23.5145,7.7891,30.4469,85.4261,27.7582,109.7728,7.6667,2.8868,11,6.6667,2.0817,9,1,1.0,2,2.4364,1.0983,3.1532,1.1319,0.618,1.5689
rl+ga (rl_base),352,32.909,390,316.3333,19.7315,339,35.6667,13.4288,51,0.9004,0.0276,0.9219,10.7576,1.3637,12.0461,8.1446,0.6518,8.6822,27.0226,2.2491,28.9486,32.2729,1.07,33.0786,0.0,0.0,0.0,8.0071,0.9143,8.9306,12.3145,0.7949,12.9782,27.05,3.6591,31.0909,1.2557,0.0367,1.2909,1.9021,0.1515,2.0142,4143.2341,127.2184,4260.0346,2843.2659,116.6094,2974.7447,1299.9682,103.0949,1409.6156,0.3137,0.0217,0.3387,229,11.5326,242,126.9075,76.4533,199.0697,564.8582,240.4443,757.1077,5.3333,3.2146,9,4.3333,3.2146,8,1,0.0,1,1.0658,0.496,1.6365,1.6715,1.0217,2.733
rl+ga (rl_v3),352,32.909,390,270,15.8745,282,82,25.5147,108,0.7696,0.054,0.8288,7.2278,0.5033,7.7909,6.1341,0.5291,6.7379,17.2457,0.9784,18.3033,27.6013,4.463,31.1818,0.0,0.0,0.0,5.0766,0.3778,5.3216,10.8634,0.1494,11.0124,21.0248,0.2968,21.3538,1.1713,0.0114,1.1842,1.5494,0.0509,1.5978,3807.2219,174.4017,3962.6899,2471.5584,86.3523,2560.8409,1335.6635,92.3465,1401.849,0.3506,0.0095,0.358,199,13.7477,211,14.2997,4.1836,17.6517,100.7703,74.6724,148.8206,0.6667,0.5774,1,0.3333,0.5774,1,0.3333,0.5774,1,1.1818,0.0,1.1818,0.6949,0.0,0.6949
rl+ga (rl_v3ant),352,32.909,390,316,15.3948,333,36,18.735,57,0.9002,0.0424,0.9369,11.0227,1.7926,12.6939,8.4914,1.2707,9.7832,27.2351,2.7846,29.1302,34.5269,4.2269,39.05,0.0,0.0,0.0,8.3235,1.1452,9.1365,12.3712,0.9897,13.1036,27.8852,4.5361,32.75,1.2426,0.0449,1.2848,1.8636,0.2358,2.1296,4195.6826,145.6876,4312.5366,2854.0896,145.4909,3017.3211,1341.593,144.8937,1503.9975,0.3196,0.0303,0.3545,228.6667,9.5044,238,122.0352,62.1812,176.8682,526.7278,185.9195,674.3969,8,6.0828,12,7.6667,5.7735,11,0.3333,0.5774,1,2.0289,1.4498,3.56,0.6949,0.0,0.6949
rl+ga (rl_v4),352,32.909,390,302.3333,21.4554,327,49.6667,11.7189,63,0.8601,0.0197,0.8769,9.1243,1.4831,10.713,7.3451,1.1507,8.6498,23.5169,3.0081,25.6129,30.8501,1.6515,32.7532,0.0,0.0,0.0,6.8021,0.885,7.6693,11.4613,0.7126,11.9356,22.5325,2.6595,24.1318,1.2131,0.0272,1.2369,1.7323,0.1131,1.8428,4023.5226,177.6615,4198.3333,2684.2878,150.8443,2851.0473,1339.2348,136.7135,1471.7447,0.3327,0.0286,0.3653,232.6667,22.0303,258,67.9647,45.9391,115.0304,385.947,208.0829,564.3943,2.3333,2.5166,5,1.6667,2.0817,4,0.6667,0.5774,1,0.4868,0.6829,0.9697,0.5467,0.2097,0.6949
rl+ga (rl_v5),352,32.909,390,313.3333,16.6533,332,38.6667,17.2143,58,0.8924,0.0376,0.9249,10.9534,1.4704,12.3322,8.7911,1.1553,9.8015,26.9526,2.5448,29.3614,34.9738,2.5819,37.1045,0.0,0.0,0.0,8.018,0.917,8.9705,12.1248,0.8319,12.7157,26.0543,3.943,29.3761,1.2327,0.0474,1.2735,1.8441,0.218,2.049,4179.0018,148.4836,4291.8523,2851.7777,155.6223,3031.4732,1327.2241,125.2884,1471.7592,0.3176,0.0275,0.3476,233.6667,10.116,240,114.402,55.7421,168.3614,519.8038,196.0067,665.9555,6.6667,5.0332,12,6,4.5826,11,0.6667,0.5774,1,2.0313,0.4859,2.5462,0.6361,0.0833,0.6949
rl+alns (rl_base),352,32.909,390,316,17.7764,336,36,16.0935,54,0.8998,0.0352,0.9309,11.5874,1.2706,12.7484,9.9633,1.0964,11.1914,25.6681,2.8103,27.5836,32.2842,0.9513,33.2892,0.0,0.0,0.0,7.1988,0.8452,7.9208,12.331,0.9055,12.8801,26.3735,3.6257,28.7822,1.2566,0.0524,1.3045,1.8865,0.1453,1.9983,4642.7655,148.3511,4791.1528,2906.7007,103.5721,3018.5488,1736.0649,147.8761,1903.7063,0.3737,0.0238,0.3973,135.3333,24.0901,163,74.2148,32.663,105.8038,280.1581,81.2546,345.6734,4.6667,2.3094,6,4,1.7321,5,0.6667,0.5774,1,1.2028,0.1318,1.297,1.9093,2.0331,3.3469
rl+alns (rl_v3),352,32.909,390,246,13.5277,259,106,22.9129,131,0.7008,0.039,0.7417,9.2863,0.0535,9.3451,8.6885,0.3897,9.1358,18.9995,0.2019,19.1969,28.7655,1.9153,30.9369,0.0,0.0,0.0,5.1636,0.1324,5.2481,10.2097,0.1731,10.3318,18.7351,0.5953,19.3107,1.1542,0.0118,1.1668,1.4715,0.0714,1.5284,4293.2267,180.7132,4463.3366,2236.5926,104.8565,2352.4389,2056.6341,87.8068,2110.8976,0.4791,0.0077,0.4878,36.6667,9.8658,48,7.6288,1.5535,9.3544,35.1617,9.8032,46.4802,0.6667,1.1547,2,0.3333,0.5774,1,0.3333,0.5774,1,0.9369,0.0,0.9369,2.184,0.0,2.184
rl+alns (rl_v3ant),352,32.909,390,318,16.6433,337,34,16.6433,53,0.9057,0.0368,0.9339,12.7124,1.7927,14.2447,11.093,0.9751,11.9038,26.679,4.4089,29.7698,34.7296,3.6487,38.9172,0.2136,0.37,0.6408,7.5409,1.1988,8.513,12.5129,0.9019,13.1597,27.8649,3.8227,31.1319,1.2689,0.0411,1.2985,1.9373,0.1824,2.0817,4725.3084,168.9863,4905.5793,2909.1225,96.1178,3018.1965,1816.1859,218.8945,2068.7642,0.3837,0.0336,0.4217,130.6667,17.1561,149,88.5254,39.2443,123.1387,314.7499,85.3856,381.8838,10,5.0,15,9,5.0,14,1,0.0,1,1.5535,0.2218,1.688,1.1843,0.7589,2.0586
rl+alns (rl_v4),352,32.909,390,299,24.98,327,53,10.5357,63,0.8501,0.0206,0.8739,11.107,0.8907,12.0328,9.464,0.9889,10.4755,24.8804,1.9069,26.952,31.0657,1.4918,32.6167,0.0,0.0,0.0,6.8282,0.5409,7.4438,11.1701,0.472,11.4501,22.1421,3.0703,25.0881,1.1887,0.0169,1.2064,1.6472,0.0842,1.7382,4595.8731,138.6644,4695.8527,2672.6698,132.8346,2824.8917,1923.2033,139.0721,2082.972,0.4184,0.0253,0.4436,113.3333,41.4045,160,49.0238,25.271,76.5075,230.5572,82.8884,316.5281,2,1.7321,4,1.6667,2.0817,4,0.3333,0.5774,1,0.9964,0.0807,1.0534,3.3469,0.0,3.3469
rl+alns (rl_v5),352,32.909,390,317,23.5797,343,35,12.53,47,0.9018,0.0285,0.9339,11.7935,1.2271,13.0049,10.2505,1.1742,11.4221,25.9817,2.4462,27.7542,31.0016,1.0629,31.9902,0.166,0.2874,0.4979,7.1614,0.5686,7.6155,12.2949,0.7876,12.9523,27.0474,3.2141,29.9177,1.2557,0.0499,1.3115,1.9316,0.1946,2.0991,4661.6633,187.2978,4838.4112,2870.5322,110.1808,2991.6516,1791.1311,176.3079,1994.7137,0.3838,0.0261,0.4123,134.3333,26.1598,162,77.3248,38.4538,118.9862,281.6494,97.5684,380.5002,3.3333,2.3094,6,2.3333,2.5166,5,1,1.0,2,0.9875,0.0848,1.0475,0.7069,0.0169,0.7188
