policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
rl (rl_v3ant_new),355,28.098,390,267.4,16.2111,286,87.6,31.1817,123,0.7567,0.0727,0.8589,16.1956,0.9637,17.39,14.8794,2.3441,17.4631,31.1304,0.8205,31.9676,36.7024,3.9933,43.4288,0.4213,0.4331,1.0239,9.553,0.5028,10.225,13.749,0.5771,14.5575,33.2361,2.1652,35.2327,1.3727,0.0259,1.4001,2.2058,0.0391,2.2524,4037.5448,209.3464,4341.237,2520.4189,132.4856,2657.818,1517.1259,112.3009,1711.0065,0.3756,0.0156,0.3941,0,0.0,0,3.5419,0.2723,3.8869,5.9908,0.8393,6.8734,20.8,7.5961,30,19.8,7.5299,29,1,0.7071,2,2.2128,0.7363,3.247,0.3901,0.1506,0.5425
rl+sa (rl_v3ant_new),355,28.098,390,275.6,13.9571,291,79.4,28.6147,110,0.7797,0.0663,0.8739,15.7485,1.0163,17.2984,14.4261,1.8512,17.1134,30.5151,1.0093,31.7162,36.0146,2.5168,40.1452,0.0,0.0,0.0,9.2013,0.4663,9.8432,13.4015,0.6411,13.8956,31.6616,2.5061,33.8964,1.3467,0.0292,1.3741,2.1465,0.0816,2.2057,3988.2075,218.5881,4303.2636,2546.1553,109.5046,2695.7126,1442.0522,163.7344,1730.7567,0.3609,0.0242,0.4022,74.6,5.7706,82,67.3877,9.0927,78.0527,236.2304,37.0439,284.6979,19.2,8.7006,32,18.4,8.1731,30,0.8,0.8367,2,1.6035,0.3718,2.1598,1.4911,1.7813,3.5316
rl+ts (rl_v3ant_new),355,28.098,390,282.4,18.0638,301,72.6,29.0396,107,0.7986,0.0705,0.9039,13.7166,0.7011,14.5472,11.338,0.8508,12.63,29.915,0.7187,30.8126,33.5983,2.1823,37.0927,0.0,0.0,0.0,9.3723,0.4466,10.0923,13.5216,0.543,14.0319,32.789,2.7354,35.0026,1.3495,0.0318,1.3974,2.1767,0.0949,2.2641,3641.5809,165.6841,3854.3548,2549.6853,99.9997,2656.7883,1091.8955,73.7529,1209.7712,0.2997,0.0086,0.3139,168.6,20.4034,193,34.4217,6.044,41.3407,121.4346,22.0421,139.8104,13.2,6.261,21,12.4,5.8992,20,0.8,0.4472,1,1.4095,0.4372,2.0821,0.7326,0.6667,1.6873
rl+ga (rl_v3ant_new),355,28.098,390,280.8,15.9906,302,74.2,30.2026,106,0.7945,0.0725,0.9069,13.3611,0.9468,14.5565,10.5847,0.8745,11.8033,30.0585,0.8703,31.0165,35.1017,2.09,37.3613,0.0,0.0,0.0,9.3135,0.4721,9.9906,13.5167,0.6972,14.1674,32.95,3.3267,35.6114,1.3459,0.0374,1.3798,2.1297,0.132,2.2431,3620.8339,190.1323,3872.9114,2522.8904,110.5863,2657.9125,1097.9436,97.197,1262.539,0.3029,0.0135,0.326,164.6,19.0866,194,158.6788,21.95,182.3835,670.1924,67.4759,781.0455,17.8,7.328,26,15.8,7.1903,24,2,0.7071,3,1.6091,0.4172,2.1274,1.3191,1.1719,3.377
rl+alns (rl_v3ant_new),355,28.098,390,280.6,15.2578,301,74.4,33.3512,111,0.7946,0.08,0.9039,14.5562,0.7269,15.4638,12.5541,0.5325,13.0441,30.2241,1.3085,31.6789,34.594,0.9804,36.129,0.1896,0.4239,0.9478,8.7262,0.5599,9.3841,13.3111,0.9681,13.9508,31.9286,4.9265,35.2333,1.331,0.0553,1.387,2.1146,0.1782,2.3218,3952.9269,173.49,4226.1068,2532.9861,67.8358,2591.0809,1419.9408,129.0646,1635.0259,0.3587,0.018,0.3869,101.6,24.8656,136,78.2546,6.5338,89.3279,298.6091,37.7544,337.7033,17.6,7.893,28,15,6.0415,23,2.6,1.9494,5,1.8457,0.2613,2.208,1.2257,0.6784,2.2129
