policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,264.3333,12.5033,273,87.6667,27.3008,117,0.7539,0.0555,0.8108,15.3227,1.7909,17.3627,14.2205,2.6425,17.2716,30.0413,0.6975,30.7183,33.1981,0.2782,33.5144,0.0,0.0,0.0,9.3829,0.0649,9.4404,9.0116,0.2483,9.2501,17.9887,0.2473,18.1538,1.3291,0.0158,1.3459,1.9829,0.0295,2.0162,2822.2944,115.7952,2893.1873,1738.7595,65.5651,1777.1304,1083.5348,50.2866,1116.0569,0.3839,0.0022,0.3858,0,0.0,0,0.2681,0.0436,0.3148,0.6165,0.0194,0.6298,15,4.5826,20,14.6667,5.0332,20,0.3333,0.5774,1,1.2633,0.1948,1.4835,0.2584,0.0,0.2584
greedy+sa,352,32.909,390,273.6667,13.0512,284,78.3333,25.7747,106,0.7803,0.0534,0.8348,15.2356,1.4594,16.8962,14.2934,3.1483,17.8423,29.3872,0.6407,30.1127,32.1135,1.0511,33.2703,0.0,0.0,0.0,9.2053,0.1615,9.361,8.8497,0.2451,9.1215,17.2421,0.6061,17.9124,1.3296,0.0051,1.334,1.9537,0.0164,1.9715,2785.451,124.0916,2881.1977,1745.2185,56.686,1799.5111,1040.2326,70.4858,1081.6865,0.3732,0.0098,0.3817,41.3333,2.3094,44,80.5611,10.7877,91.2009,255.8527,9.4128,266.3052,11.3333,4.5092,16,11,4.5826,16,0.3333,0.5774,1,1.0067,0.3586,1.4193,0.0084,0.0,0.0084
greedy+ts,352,32.909,390,276.3333,11.7189,285,75.6667,30.8923,109,0.7887,0.0677,0.8559,13.9773,1.3097,15.4063,11.7856,1.6316,13.539,29.1529,0.7711,29.9869,32.8456,1.5702,34.5769,0.0,0.0,0.0,9.0752,0.434,9.4687,9.0527,0.1918,9.1765,18.5706,0.7312,19.0877,1.3402,0.0103,1.3513,1.9373,0.0445,1.9882,2665.8238,118.509,2740.2273,1743.26,75.7018,1793.6638,922.5638,42.9722,948.1753,0.346,0.0013,0.3476,92,8.8882,99,45.9825,1.8235,47.1425,170.0269,8.235,175.26,9.3333,3.5119,13,9.3333,3.5119,13,0,0.0,0,1.0006,0.3184,1.2953,,,
greedy+ga,352,32.909,390,274,14.7986,284,78,30.05,109,0.7817,0.0667,0.8529,13.8898,1.0962,14.9817,11.754,1.4011,13.2678,28.9997,0.9936,29.8565,32.2623,0.5127,32.8089,0.0,0.0,0.0,8.9006,0.4703,9.2209,9.0198,0.184,9.2226,18.5653,0.2737,18.8591,1.3321,0.0105,1.3414,1.9652,0.0784,2.031,2668.9779,114.4665,2770.4656,1721.3467,68.0949,1786.2321,947.6312,47.1252,984.2334,0.355,0.0034,0.3582,86,14.5258,101,174.0758,16.9258,192.0411,656.4737,9.3259,664.6808,8,3.0,11,8,3.0,11,0,0.0,0,1.0489,0.3133,1.4107,,,
greedy+alns,352,32.909,390,283.3333,14.2244,293,68.6667,27.0986,97,0.808,0.06,0.8709,13.2375,2.2677,15.5307,11.0661,1.9195,13.1642,28.5141,1.6464,30.0638,32.4836,2.3372,35.1748,0.0,0.0,0.0,8.7493,1.0702,9.6417,9.0612,0.1967,9.2802,18.583,0.293,18.9147,1.3473,0.0113,1.3598,1.9822,0.0104,1.9939,2716.2535,147.8798,2826.3627,1778.0353,97.2294,1856.4172,938.2183,51.3807,969.9455,0.3454,0.0025,0.3481,94.3333,12.2202,105,92.0156,21.17,109.8162,363.8646,48.3262,393.654,7.6667,5.5076,14,7.6667,5.5076,14,0,0.0,0,0.8595,0.5183,1.4356,,,
