policy,total_requests_mean,total_requests_std,total_requests_worst,served_mean,served_std,served_worst,rejected_mean,rejected_std,rejected_worst,service_rate_mean,service_rate_std,service_rate_worst,mean_wait_mean,mean_wait_std,mean_wait_worst,p50_wait_mean,p50_wait_std,p50_wait_worst,p95_wait_mean,p95_wait_std,p95_wait_worst,max_wait_mean,max_wait_std,max_wait_worst,min_wait_mean,min_wait_std,min_wait_worst,std_wait_mean,std_wait_std,std_wait_worst,mean_ride_mean,mean_ride_std,mean_ride_worst,p95_ride_mean,p95_ride_std,p95_ride_worst,mean_detour_ratio_mean,mean_detour_ratio_std,mean_detour_ratio_worst,p95_detour_ratio_mean,p95_detour_ratio_std,p95_detour_ratio_worst,total_distance_mean,total_distance_std,total_distance_worst,loaded_distance_mean,loaded_distance_std,loaded_distance_worst,empty_distance_mean,empty_distance_std,empty_distance_worst,deadhead_ratio_mean,deadhead_ratio_std,deadhead_ratio_worst,improvements_mean,improvements_std,improvements_worst,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_worst,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_worst,violations_total_mean,violations_total_std,violations_total_worst,violations_wait_mean,violations_wait_std,violations_wait_worst,violations_ride_mean,violations_ride_std,violations_ride_worst,mean_wait_excess_mean,mean_wait_excess_std,mean_wait_excess_worst,mean_ride_excess_mean,mean_ride_excess_std,mean_ride_excess_worst
greedy,352,32.909,390,94.6667,13.2035,109,257.3333,20.9841,281,0.2683,0.0166,0.2795,6.2087,1.165,7.5456,5.2264,0.8109,6.029,15.541,2.6791,18.5272,23.625,8.8138,31.7552,0.0,0.0,0.0,4.7891,1.0282,5.8197,10.7721,0.0382,10.8004,16.183,0.2821,16.4647,1.0857,0.0174,1.1032,1.3543,0.0324,1.3874,1414.1074,201.1429,1633.4018,920.2506,122.4663,1053.3592,493.8568,78.6885,580.0426,0.3487,0.0058,0.3551,0,0.0,0,0.0595,0.0088,0.0697,0.1129,0.0446,0.1635,0.6667,0.5774,1,0.3333,0.5774,1,0.3333,0.5774,1,1.7552,0.0,1.7552,0.9343,0.0,0.9343
greedy+sa,352,32.909,390,94.6667,13.2035,109,257.3333,20.9841,281,0.2683,0.0166,0.2795,6.3982,1.265,7.8247,5.5212,0.9797,6.6488,16.6153,3.9948,21.1153,22.2581,6.3559,28.9642,0.0,0.0,0.0,4.7942,1.3141,6.3022,10.7193,0.2148,10.8943,15.9119,0.5257,16.4886,1.081,0.0141,1.0972,1.3534,0.0166,1.3719,1422.2309,187.0625,1619.9474,918.2077,107.1749,1033.2738,504.0232,80.0636,586.6736,0.3535,0.0104,0.3622,2.6667,2.0817,5,1.9028,0.5498,2.5148,8.2526,3.5992,12.406,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+ts,352,32.909,390,94.6667,13.2035,109,257.3333,20.9841,281,0.2683,0.0166,0.2795,6.6244,1.4021,8.221,5.7826,0.332,6.1621,16.1894,3.5281,20.2265,20.3205,6.6257,27.9074,0.0,0.0,0.0,4.6834,1.2745,6.1546,10.7191,0.2607,10.9604,15.4603,0.7874,15.9243,1.0821,0.0211,1.1065,1.3778,0.0321,1.4117,1384.7345,188.0183,1592.5686,917.7848,102.7939,1029.2437,466.9497,85.6012,563.3249,0.3358,0.0155,0.3537,14.6667,4.0415,19,1.3997,0.5924,2.0587,7.2612,4.9402,12.9259,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.1361,0.0,0.1361
greedy+ga,352,32.909,390,94.6667,13.2035,109,257.3333,20.9841,281,0.2683,0.0166,0.2795,6.6339,1.4182,8.2494,5.7826,0.332,6.1621,16.0845,3.348,19.9117,20.3205,6.6257,27.9074,0.0,0.0,0.0,4.6341,1.1892,6.0068,10.7145,0.268,10.9604,15.4603,0.7874,15.9243,1.0816,0.0216,1.1065,1.3749,0.033,1.4117,1384.49,187.613,1591.8351,917.2819,101.9764,1027.735,467.2081,86.0377,564.1001,0.3361,0.0159,0.3544,14.6667,4.0415,19,2.1938,1.1501,3.5106,8.1005,3.4619,12.0772,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
greedy+alns,352,32.909,390,94.6667,13.2035,109,257.3333,20.9841,281,0.2683,0.0166,0.2795,6.0712,1.0364,7.2481,5.2086,0.2082,5.3976,15.0385,3.4308,18.9726,19.9081,7.131,27.9205,0.0,0.0,0.0,4.4892,1.2745,5.9609,10.7639,0.0821,10.8585,15.7951,0.7517,16.4886,1.0861,0.0155,1.0961,1.3521,0.026,1.3719,1406.7571,176.6676,1599.6447,919.9542,116.5572,1047.1476,486.8029,60.1107,552.4972,0.3461,0.0007,0.3469,5.6667,8.0829,15,1.2968,1.6109,3.1341,7.7564,13.1069,22.8909,0,0.0,0,0,0.0,0,0,0.0,0,,,,,,
rl (rl_v4),352,32.909,390,95,13.7477,110,257,20.4206,280,0.2692,0.0175,0.2821,9.4415,2.4603,12.2817,8.1235,1.5701,9.9259,21.0357,8.1781,30.3231,30.2044,4.4016,34.9787,0.0,0.0,0.0,5.8638,2.2328,8.4295,10.7392,0.3041,11.0349,15.5521,0.467,15.9167,1.0835,0.0205,1.107,1.3814,0.0404,1.424,1639.8323,227.0533,1893.8265,919.0936,105.6875,1037.0069,720.7387,121.3761,856.8196,0.4384,0.0126,0.4524,0,0.0,0,0.9553,0.274,1.2712,2.9132,0.5099,3.3196,2.3333,3.2146,6,1.6667,2.8868,5,0.6667,0.5774,1,2.2261,0.0,2.2261,1.2031,1.4414,2.2223
rl+sa (rl_v4),352,32.909,390,94.6667,14.1892,110,257.3333,20.2567,280,0.2682,0.0192,0.2821,7.6927,1.6862,9.6389,6.7237,1.2276,8.0975,17.3863,6.0352,24.3087,23.2625,3.0053,26.7327,0.3058,0.5297,0.9175,5.061,1.5408,6.8153,10.8648,0.1739,11.0412,15.735,0.4399,16.0306,1.0958,0.0147,1.1102,1.3781,0.039,1.4176,1524.8802,207.8096,1754.5502,929.0142,121.9505,1062.4705,595.8659,85.9995,692.0797,0.3905,0.0037,0.3944,29.6667,3.7859,34,3.393,1.6351,5.259,11.9386,3.536,15.992,0.6667,1.1547,2,0,0.0,0,0.6667,1.1547,2,,,,0.8707,0.0,0.8707
rl+ts (rl_v4),352,32.909,390,94.3333,12.6623,108,257.6667,21.5484,282,0.2675,0.0158,0.2769,6.4689,1.1403,7.7586,5.7145,0.216,5.958,16.1415,3.3363,19.9325,20.7306,7.3305,29.1374,0.0,0.0,0.0,4.6596,1.2332,6.0832,10.7242,0.2579,10.9604,15.214,1.214,15.9243,1.0827,0.0207,1.1065,1.3776,0.0321,1.4117,1380.5472,180.788,1579.5978,915.1394,97.9914,1020.4893,465.4078,83.2806,559.1085,0.3358,0.0157,0.354,66.6667,12.0554,78,2.2674,0.472,2.7886,10.3507,2.8753,13.6702,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.2278,0.0,0.2278
rl+ga (rl_v4),352,32.909,390,94.3333,12.6623,108,257.6667,21.5484,282,0.2675,0.0158,0.2769,6.5028,1.1948,7.8561,5.8195,0.3955,6.273,16.0914,3.3599,19.9325,20.7306,7.3305,29.1374,0.0,0.0,0.0,4.6133,1.1531,5.9443,10.7171,0.2638,10.9604,15.214,1.214,15.9243,1.0823,0.0211,1.1065,1.3776,0.0321,1.4117,1382.0948,183.6462,1584.6495,914.4231,97.3469,1019.1586,467.6718,86.821,565.4909,0.3369,0.0173,0.3569,66.6667,10.0167,77,3.3572,1.6031,5.1938,12.0712,3.0675,15.5536,0.3333,0.5774,1,0,0.0,0,0.3333,0.5774,1,,,,0.2278,0.0,0.2278
rl+alns (rl_v4),352,32.909,390,95,13.7477,110,257,20.4206,280,0.2692,0.0175,0.2821,8.0128,0.7095,8.821,7.2354,0.3605,7.6391,17.0903,3.3352,20.6114,21.6546,6.7644,28.6478,0.4722,0.8179,1.4167,4.818,1.3874,6.3728,10.7578,0.2532,10.9475,15.5563,0.5379,15.9063,1.0851,0.0096,1.0922,1.3863,0.0274,1.4169,1569.6684,121.8752,1687.8504,924.9697,112.1789,1041.7288,644.6987,17.6363,661.5804,0.412,0.0263,0.4337,9,13.0,24,2.9539,2.8536,6.2259,16.4357,21.1933,40.9073,0.6667,0.5774,1,0,0.0,0,0.6667,0.5774,1,,,,0.8151,0.8323,1.4037
